date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,38.25,1015900.0,38.56,38.19,38.0
1998-01-05,38.19,1259900.0,38.94,37.81,37.31
1998-01-06,37.75,1399600.0,38.0,37.44,37.02
1998-01-07,36.5,2862500.0,36.81,36.81,35.31
1998-01-08,37.0,2287400.0,37.56,37.44,36.75
1998-01-09,37.25,1488300.0,37.31,35.69,35.12
1998-01-12,35.0,1426400.0,36.75,36.62,34.75
1998-01-13,37.62,1616400.0,37.62,36.19,36.0
1998-01-14,37.0,1347200.0,37.38,37.31,36.31
1998-01-15,37.38,1015500.0,37.5,37.0,36.94
1998-01-16,37.25,1178500.0,37.44,37.06,36.94
1998-01-20,37.44,1578500.0,37.62,37.62,36.88
1998-01-21,37.62,1959800.0,37.62,36.31,36.06
1998-01-22,36.25,1318500.0,36.25,36.12,35.25
1998-01-23,36.12,1180700.0,36.12,35.56,34.88
1998-01-26,35.5,962100.0,36.44,35.62,35.44
1998-01-27,35.38,1055400.0,36.56,36.25,35.38
1998-01-28,36.88,1413600.0,37.25,36.56,36.44
1998-01-29,36.69,1205300.0,37.38,36.81,36.44
1998-01-30,36.94,1303400.0,36.94,36.44,36.06
1998-02-02,37.25,1639100.0,37.62,37.31,36.75
1998-02-03,37.12,2382100.0,38.44,38.44,37.0
1998-02-04,38.25,1448000.0,38.62,38.5,37.56
1998-02-05,38.44,860700.0,38.94,38.38,37.75
1998-02-06,38.62,1597100.0,39.19,38.81,38.44
1998-02-09,38.88,1112200.0,38.88,38.69,38.0
1998-02-10,38.94,1576200.0,39.25,39.25,38.56
1998-02-11,39.5,1357300.0,39.75,39.75,39.12
1998-02-12,39.25,933300.0,39.75,39.62,38.69
1998-02-13,39.75,852900.0,39.75,39.44,39.0
1998-02-17,39.56,862300.0,39.94,39.81,39.31
1998-02-18,39.88,1195800.0,40.19,40.0,39.56
1998-02-19,39.38,983800.0,39.56,39.56,39.06
1998-02-20,39.94,1063600.0,39.94,39.44,38.62
1998-02-23,39.25,1057300.0,40.0,39.81,39.25
1998-02-24,39.81,1021600.0,39.81,39.5,39.0
1998-02-25,39.94,1181500.0,40.38,40.25,39.75
1998-02-26,41.88,1297900.0,41.88,41.06,40.12
