date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,52.0,250600.0,52.0,50.06,49.81
1998-01-05,51.0,723900.0,51.12,48.38,46.5
1998-01-06,45.5,1181100.0,46.38,44.0,43.38
1998-01-07,45.0,612500.0,48.25,48.0,44.12
1998-01-08,46.75,801400.0,46.75,45.0,44.88
1998-01-09,42.12,1833400.0,42.5,40.5,39.0
1998-01-12,39.12,1634700.0,40.38,39.0,37.5
1998-01-13,40.0,1401700.0,41.25,40.0,39.25
1998-01-14,41.0,1269200.0,43.38,43.12,40.5
1998-01-15,43.0,763800.0,43.88,42.31,42.25
1998-01-16,42.56,530600.0,44.94,44.81,42.56
1998-01-20,45.5,828000.0,47.25,47.06,45.5
1998-01-21,45.12,680100.0,46.38,45.62,44.56
1998-01-22,41.75,1158200.0,43.25,40.81,40.5
1998-01-23,42.88,1414700.0,42.88,39.5,39.06
1998-01-26,40.0,878000.0,40.94,40.75,38.75
1998-01-27,40.75,603700.0,41.88,39.75,39.12
1998-01-28,40.0,565700.0,40.94,40.94,39.56
1998-01-29,41.5,842900.0,43.25,42.62,41.5
1998-01-30,42.88,310000.0,43.0,40.38,40.38
1998-02-02,40.44,455200.0,41.25,40.12,39.75
1998-02-03,40.75,841700.0,43.25,43.06,40.75
1998-02-04,43.31,898900.0,46.12,46.06,43.31
1998-02-05,47.0,1494000.0,49.19,48.62,47.0
1998-02-06,48.75,506300.0,48.94,47.75,47.5
1998-02-09,48.38,922700.0,49.31,48.88,47.81
1998-02-10,48.88,359000.0,49.62,49.19,48.38
1998-02-11,49.25,228900.0,49.56,48.38,47.88
1998-02-12,48.12,452500.0,48.12,46.34,46.06
1998-02-13,46.75,409400.0,47.5,46.88,46.62
1998-02-17,47.0,652500.0,47.12,44.5,44.5
1998-02-18,44.5,707700.0,46.56,46.56,44.5
1998-02-19,46.5,582500.0,47.12,46.0,45.12
1998-02-20,46.0,324100.0,46.0,45.38,45.06
1998-02-23,44.5,423300.0,44.5,43.69,42.75
1998-02-24,42.69,382000.0,44.0,42.75,42.56
1998-02-25,42.88,411600.0,44.75,44.12,42.38
1998-02-26,47.0,1071300.0,47.75,47.62,46.0
1998-02-27,47.62,482800.0,49.19,49.06,47.12
1998-03-02,49.0,814600.0,51.25,50.75,48.25
1998-03-03,50.38,825700.0,52.94,52.81,49.25
1998-03-04,52.81,4234300.0,53.88,48.69,48.0
1998-03-05,48.69,3652800.0,49.62,48.56,47.38
1998-03-06,48.62,1459000.0,49.25,47.38,47.0
1998-03-09,46.5,1005100.0,46.56,44.31,43.75
1998-03-10,44.75,2061800.0,46.75,46.38,44.69
1998-03-11,47.0,762400.0,47.62,46.69,45.81
1998-03-12,46.5,1337100.0,46.5,45.19,44.88
1998-03-13,45.19,772400.0,45.94,45.0,45.0
1998-03-16,44.5,832100.0,44.81,42.88,42.38
1998-03-17,42.25,1671300.0,42.31,41.25,39.75
1998-03-18,41.12,1341800.0,43.5,43.5,41.12
1998-03-19,43.5,1480600.0,44.0,42.44,41.62
1998-03-20,42.62,1473500.0,44.31,43.0,42.62
1998-03-23,47.5,1288200.0,47.62,46.62,46.25
1998-03-24,46.0,543300.0,46.0,44.88,44.5
1998-03-25,44.94,572100.0,46.44,45.81,44.75
1998-03-26,45.88,1122800.0,48.5,47.88,45.88
1998-03-27,47.88,707200.0,48.62,47.75,47.12
1998-03-30,49.25,689900.0,49.25,47.12,46.88
1998-03-31,46.88,654000.0,46.88,46.31,45.62
1998-04-01,46.25,785200.0,48.44,47.88,45.75
1998-04-02,47.88,478700.0,48.12,46.88,46.25
1998-04-03,47.31,393700.0,48.19,47.0,46.88
1998-04-06,47.0,357200.0,47.12,45.62,45.56
1998-04-07,45.38,318500.0,45.38,43.62,43.56
1998-04-08,43.75,715100.0,44.56,44.0,43.25
1998-04-09,44.0,531000.0,44.0,42.88,42.62
1998-04-13,42.62,389500.0,44.0,43.44,42.62
1998-04-14,43.44,490000.0,44.0,43.88,43.0
1998-04-15,44.12,834500.0,45.94,45.94,44.0
1998-04-16,46.5,779800.0,46.88,46.0,45.56
1998-04-17,46.75,289800.0,47.19,46.62,46.25
1998-04-20,47.19,576400.0,47.81,47.44,47.0
1998-04-21,48.44,1008600.0,51.5,51.19,48.25
1998-04-22,51.44,929800.0,52.12,50.88,49.62
1998-04-23,50.88,892400.0,51.38,51.0,50.75
1998-04-24,50.94,802300.0,50.94,49.5,49.06
1998-04-27,48.75,613100.0,48.88,48.56,48.0
1998-04-28,49.75,733100.0,51.5,51.5,49.75
1998-04-29,51.0,1218300.0,53.62,53.62,50.5
1998-04-30,53.0,853700.0,53.75,53.25,52.56
1998-05-01,55.0,1388000.0,58.0,57.88,54.38
1998-05-04,58.0,601300.0,58.44,56.88,56.62
1998-05-05,56.88,717600.0,57.62,55.62,55.06
1998-05-06,55.75,436600.0,55.75,54.62,54.5
1998-05-07,54.5,565400.0,54.5,53.62,53.44
1998-05-08,52.88,534700.0,55.12,55.12,52.88
1998-05-11,57.0,1001100.0,57.25,55.12,54.75
1998-05-12,55.0,735900.0,55.88,55.5,54.5
1998-05-13,55.75,982600.0,56.12,54.44,54.19
1998-05-14,54.44,662500.0,55.38,54.38,54.38
1998-05-15,54.62,337100.0,55.25,53.31,53.19
1998-05-18,53.31,451100.0,53.31,51.81,51.75
1998-05-19,51.88,479700.0,52.44,51.62,51.12
1998-05-20,51.5,316500.0,51.94,50.44,50.25
1998-05-21,51.12,559100.0,51.44,50.25,50.0
1998-05-22,49.62,532800.0,49.75,49.0,48.75
1998-05-26,48.88,550900.0,49.38,48.0,47.75
1998-05-27,47.25,1108300.0,51.0,50.5,47.0
1998-05-28,50.0,992500.0,50.0,50.0,47.88
1998-05-29,49.75,723700.0,50.62,50.56,49.25
1998-06-01,50.25,586600.0,50.5,48.19,48.19
1998-06-02,48.19,478300.0,49.12,47.62,47.38
1998-06-03,47.56,888100.0,47.56,45.62,45.5
1998-06-04,45.88,1723600.0,46.88,46.38,45.56
1998-06-05,46.5,608400.0,47.75,46.88,46.0
1998-06-08,47.12,642600.0,47.12,46.38,45.88
1998-06-09,46.0,583900.0,46.25,45.5,45.44
1998-06-10,45.0,966700.0,45.0,42.75,42.31
1998-06-11,42.5,2836700.0,42.5,39.69,39.38
1998-06-12,39.69,2484000.0,40.12,39.5,38.5
1998-06-15,38.5,1442400.0,38.62,35.0,35.0
1998-06-16,35.75,2069800.0,37.06,36.06,35.56
1998-06-17,37.38,1247900.0,38.25,37.69,37.06
1998-06-18,37.69,2211000.0,37.75,35.0,34.75
1998-06-19,36.0,1859500.0,36.75,36.12,35.75
1998-06-22,37.0,769600.0,38.62,37.62,36.5
1998-06-23,38.25,934800.0,39.62,38.69,38.12
1998-06-24,40.25,1209600.0,40.94,39.19,38.31
1998-06-25,39.62,816400.0,40.19,37.25,37.25
1998-06-26,36.5,677400.0,37.0,35.25,35.25
