date,1. open,5. volume,2. high,4. close,3. low
2003-11-20,16.4,7380900.0,16.85,16.27,16.25
2003-11-21,16.26,892100.0,16.4,16.3,16.2
2003-11-24,16.27,416500.0,16.5,16.5,16.26
2003-11-25,16.45,172400.0,16.55,16.27,16.25
2003-11-26,16.2,191300.0,16.55,16.4,16.15
2003-11-28,16.35,97100.0,16.61,16.61,16.32
2003-12-01,16.55,267200.0,16.72,16.71,16.4
2003-12-02,16.61,168900.0,16.75,16.75,16.44
2003-12-03,16.85,405800.0,17.2,16.76,16.71
2003-12-04,16.8,224400.0,16.93,16.92,16.67
2003-12-05,16.91,542500.0,17.0,17.0,16.75
2003-12-08,17.0,248400.0,17.23,17.2,16.9
2003-12-09,17.3,169900.0,17.35,16.99,16.95
2003-12-10,16.96,336000.0,17.3,17.15,16.95
2003-12-11,17.05,86700.0,17.25,17.12,16.9
2003-12-12,17.25,289500.0,17.89,17.55,17.19
2003-12-15,17.7,301000.0,17.8,17.4,17.31
2003-12-16,17.3,82600.0,17.48,17.37,17.25
2003-12-17,17.37,139300.0,17.6,17.47,17.31
2003-12-18,17.37,453800.0,18.01,17.76,17.31
2003-12-19,17.75,92300.0,17.92,17.65,17.55
2003-12-22,17.75,83600.0,17.75,17.51,17.45
2003-12-23,17.53,85900.0,17.53,17.1,17.0
2003-12-24,17.05,81500.0,17.35,17.3,17.05
2003-12-26,17.25,196400.0,18.1,18.0,17.25
2003-12-29,18.25,177300.0,18.35,17.98,17.82
2003-12-30,17.99,167600.0,18.05,17.86,17.68
2003-12-31,17.86,415900.0,18.54,18.4,17.86
2004-01-02,18.65,391700.0,19.25,18.84,18.57
2004-01-05,18.97,316400.0,19.0,18.55,18.45
2004-01-06,18.61,538500.0,19.37,19.25,18.61
2004-01-07,19.25,143100.0,19.25,18.93,18.84
2004-01-08,19.01,112800.0,19.15,19.07,18.85
2004-01-09,19.2,224700.0,19.47,19.25,19.15
2004-01-12,19.5,80400.0,19.5,19.12,19.0
2004-01-13,19.4,336400.0,20.2,20.1,19.28
2004-01-14,20.1,263300.0,20.22,19.9,19.73
2004-01-15,20.1,179700.0,20.12,19.83,19.65
2004-01-16,19.85,185800.0,19.85,19.28,19.25
2004-01-20,19.4,274600.0,19.76,19.7,19.23
2004-01-21,19.55,220000.0,19.72,19.65,19.29
2004-01-22,20.0,280900.0,20.0,19.66,19.05
2004-01-23,19.66,177600.0,19.75,19.7,19.53
2004-01-26,19.62,205500.0,20.23,20.01,19.62
2004-01-27,20.2,102300.0,20.25,20.02,19.91
2004-01-28,20.05,110900.0,20.05,19.49,19.48
2004-01-29,19.72,90700.0,19.8,19.3,19.2
2004-01-30,19.4,187000.0,19.5,19.24,19.2
2004-02-02,19.85,332700.0,19.97,19.85,19.48
2004-02-03,19.9,124100.0,19.95,19.85,19.64
2004-02-04,19.85,208000.0,19.9,19.5,19.48
2004-02-05,19.5,151000.0,19.55,19.42,19.24
2004-02-06,19.3,198800.0,19.36,19.2,19.08
2004-02-09,19.3,175700.0,19.48,19.42,19.25
2004-02-10,19.38,94900.0,20.25,20.19,19.32
2004-02-11,20.23,256600.0,20.24,20.05,19.85
2004-02-12,20.2,179200.0,20.66,20.59,20.06
2004-02-13,20.6,166000.0,20.75,20.65,20.4
2004-02-17,21.0,91700.0,21.0,20.75,20.57
2004-02-18,20.95,158800.0,21.25,20.96,20.74
2004-02-19,21.05,158700.0,21.2,20.9,20.86
2004-02-20,21.05,88700.0,21.12,20.9,20.9
2004-02-23,20.9,119200.0,21.2,21.05,20.9
2004-02-24,21.15,162900.0,21.44,21.18,21.03
2004-02-25,21.35,137400.0,21.42,21.15,21.05
2004-02-26,21.05,643800.0,21.22,21.0,20.82
2004-02-27,21.0,229100.0,21.0,20.9,20.85
2004-03-01,20.9,366700.0,21.05,21.0,20.85
2004-03-02,21.0,744300.0,21.0,20.75,20.72
2004-03-03,20.75,142900.0,21.42,21.16,20.71
2004-03-04,21.16,156700.0,21.75,21.73,21.05
2004-03-05,21.7,307900.0,22.35,22.24,21.55
2004-03-08,22.25,267600.0,22.73,22.57,22.2
2004-03-09,22.6,151600.0,22.91,22.55,22.5
2004-03-10,22.57,134000.0,22.85,22.3,22.3
2004-03-11,22.25,273400.0,22.25,21.98,21.68
2004-03-12,22.2,231700.0,22.67,22.65,22.2
2004-03-15,22.8,132900.0,22.89,22.65,22.6
2004-03-16,22.7,118500.0,22.8,22.0,21.75
2004-03-17,22.11,127200.0,22.7,22.27,22.01
2004-03-18,22.17,113100.0,22.8,22.8,22.01
2004-03-19,22.85,65600.0,22.85,22.68,22.5
2004-03-22,22.43,193900.0,22.63,21.95,21.92
2004-03-23,22.1,136500.0,23.0,22.7,22.1
2004-03-24,22.82,148200.0,22.85,22.5,22.25
2004-03-25,22.5,134900.0,22.55,22.45,22.1
2004-03-26,22.4,34900.0,22.69,22.57,22.33
2004-03-29,22.58,110100.0,22.85,22.81,22.58
