date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,38.71,285200.0,38.96,38.71,37.96
1998-01-05,38.46,396500.0,38.65,38.34,38.09
1998-01-06,38.03,500200.0,39.21,38.78,37.78
1998-01-07,38.65,703700.0,38.65,38.53,37.9
1998-01-08,38.28,1429200.0,38.28,37.46,37.15
1998-01-09,37.46,504200.0,37.46,36.84,35.47
1998-01-12,35.97,842300.0,36.34,35.97,35.03
1998-01-13,35.97,522500.0,36.47,36.09,35.84
1998-01-14,35.97,1143400.0,37.09,36.84,35.84
1998-01-15,36.84,2115700.0,38.09,37.84,36.78
1998-01-16,37.96,527200.0,38.15,37.78,37.59
1998-01-20,37.09,958000.0,37.84,36.96,36.96
1998-01-21,36.96,1594800.0,37.03,36.09,35.9
1998-01-22,35.97,1238600.0,36.09,35.65,35.09
1998-01-23,35.59,1412900.0,35.9,34.9,34.9
1998-01-26,34.97,1286200.0,35.22,34.72,34.59
1998-01-27,34.97,783800.0,35.4,34.97,34.72
1998-01-28,34.72,1810100.0,36.09,36.03,34.72
1998-01-29,36.03,909500.0,36.78,36.34,35.97
1998-01-30,36.59,729000.0,36.96,36.71,36.4
1998-02-02,36.71,824300.0,37.59,36.71,36.22
1998-02-03,36.59,3691900.0,36.59,35.97,34.4
1998-02-04,35.97,2109600.0,36.71,36.15,35.9
1998-02-05,36.15,2746900.0,36.22,35.97,35.72
1998-02-06,35.97,621400.0,35.97,35.9,35.47
1998-02-09,35.84,1278000.0,35.84,34.72,34.72
1998-02-10,34.59,2469900.0,35.15,34.9,34.59
1998-02-11,34.97,1699700.0,36.34,36.03,34.97
1998-02-12,35.97,2638600.0,38.78,38.46,35.97
1998-02-13,38.21,985600.0,38.21,37.9,37.78
1998-02-17,37.9,689600.0,38.65,37.84,37.78
1998-02-18,37.84,423900.0,38.34,38.03,37.78
1998-02-19,38.03,644800.0,38.46,38.03,37.96
1998-02-20,37.96,716800.0,38.34,37.71,37.71
1998-02-23,37.84,2255100.0,37.84,36.65,36.59
1998-02-24,35.97,1798600.0,37.9,37.53,35.22
1998-02-25,37.53,1449000.0,38.71,38.28,37.09
1998-02-26,38.84,1510900.0,40.21,40.02,38.71
1998-02-27,40.02,2304400.0,42.21,41.59,39.96
1998-03-02,40.96,1807600.0,41.71,41.46,40.77
1998-03-03,41.34,901100.0,41.71,40.52,40.21
1998-03-04,40.59,357900.0,40.84,40.27,40.15
1998-03-05,40.27,944500.0,40.52,39.59,39.46
1998-03-06,39.34,1960200.0,39.77,38.59,38.09
1998-03-09,38.34,1654300.0,39.96,39.21,37.84
1998-03-10,39.21,1121400.0,39.96,39.09,38.46
1998-03-11,40.46,19231900.0,44.02,42.96,40.09
1998-03-12,44.15,5126200.0,44.96,44.96,43.71
1998-03-13,44.96,2143600.0,45.14,44.83,44.4
1998-03-16,44.96,1703700.0,45.96,45.96,44.89
1998-03-17,45.96,1701100.0,46.83,46.71,45.89
1998-03-18,46.33,1473000.0,46.39,45.96,45.58
1998-03-19,46.21,472600.0,46.21,45.46,45.39
1998-03-20,45.52,359500.0,45.71,45.33,45.27
1998-03-23,45.33,575600.0,45.33,44.89,44.65
1998-03-24,44.83,868500.0,45.02,44.96,44.71
1998-03-25,44.96,927400.0,45.21,44.52,44.21
1998-03-26,43.83,883400.0,44.83,44.83,43.83
1998-03-27,44.96,1362100.0,45.77,45.64,44.96
1998-03-30,45.64,383100.0,45.64,45.08,44.89
1998-03-31,44.96,889200.0,45.21,44.52,44.52
1998-04-01,44.65,1365400.0,45.83,45.77,44.65
1998-04-02,46.33,1176500.0,47.39,47.14,46.27
1998-04-03,46.71,1403700.0,47.89,47.64,46.71
1998-04-06,47.52,323000.0,47.89,47.39,46.96
1998-04-07,47.21,648700.0,47.39,45.96,45.77
1998-04-08,46.14,1230400.0,46.14,45.71,45.52
1998-04-09,46.08,876000.0,47.02,46.46,45.89
1998-04-13,46.46,915100.0,46.96,46.89,46.39
1998-04-14,46.96,1537500.0,49.14,49.08,46.96
1998-04-15,49.08,853900.0,49.52,49.52,48.27
1998-04-16,49.52,1351700.0,49.58,48.39,48.14
1998-04-17,48.58,452200.0,48.7,48.52,48.02
1998-04-20,48.39,328300.0,48.39,47.95,47.89
1998-04-21,47.95,650600.0,48.33,48.33,47.52
1998-04-22,48.33,524200.0,48.45,48.02,47.89
1998-04-23,47.89,643000.0,48.58,48.58,47.83
1998-04-24,48.58,1280500.0,48.58,47.89,47.52
1998-04-27,46.96,970300.0,46.96,45.83,44.89
1998-04-28,46.58,829200.0,46.58,45.96,45.33
1998-04-29,46.39,1468900.0,47.33,46.89,45.71
1998-04-30,46.89,1488000.0,49.14,49.02,46.89
1998-05-01,48.83,1265800.0,49.14,49.02,48.39
1998-05-04,48.89,1062400.0,49.08,49.08,48.45
1998-05-05,49.08,1266200.0,49.14,48.77,48.58
1998-05-06,49.02,739300.0,49.14,48.7,48.64
1998-05-07,48.52,1675900.0,49.95,49.89,48.45
1998-05-08,49.89,778000.0,49.89,49.39,48.7
1998-05-11,49.2,1142000.0,49.7,49.7,49.2
1998-05-12,49.58,970500.0,49.77,48.95,48.7
1998-05-13,48.7,1505400.0,49.02,48.52,48.2
1998-05-14,48.58,911100.0,49.33,48.45,48.27
1998-05-15,48.2,446800.0,48.45,47.95,47.95
1998-05-18,48.02,723100.0,48.33,48.08,47.89
1998-05-19,48.14,996000.0,48.14,47.95,47.7
1998-05-20,47.83,921000.0,48.52,48.14,47.58
1998-05-21,47.95,746800.0,47.95,46.83,46.77
1998-05-22,46.83,628400.0,46.83,46.27,46.08
1998-05-26,46.58,584100.0,46.83,45.96,45.96
1998-05-27,45.46,1241400.0,46.89,46.39,44.96
1998-05-28,46.27,778400.0,47.45,46.96,46.27
1998-05-29,46.96,764500.0,47.14,47.14,46.71
1998-06-01,46.96,551000.0,47.39,47.14,46.89
1998-06-02,47.02,1049200.0,47.08,46.89,46.52
1998-06-03,46.89,978700.0,46.89,45.71,45.46
1998-06-04,45.89,779700.0,45.96,45.77,45.14
1998-06-05,45.89,886400.0,46.96,46.77,45.83
1998-06-08,46.96,582300.0,47.89,47.77,46.96
1998-06-09,47.58,604000.0,48.33,48.33,47.39
1998-06-10,48.2,537200.0,48.27,47.7,47.58
1998-06-11,47.95,592200.0,47.95,47.7,47.39
1998-06-12,47.58,831800.0,47.58,47.02,46.08
1998-06-15,46.96,1661500.0,46.96,44.65,44.65
1998-06-16,45.21,890500.0,46.27,46.21,45.21
1998-06-17,46.39,522700.0,47.08,46.96,46.27
1998-06-18,46.89,389800.0,46.89,46.14,45.96
1998-06-19,45.89,578900.0,46.77,46.64,45.89
1998-06-22,46.64,453300.0,47.14,46.96,46.58
1998-06-23,46.96,554000.0,47.08,46.89,46.21
1998-06-24,46.64,957500.0,47.95,47.7,46.64
1998-06-25,47.58,1069400.0,49.45,48.7,47.58
1998-06-26,48.58,1001600.0,48.77,47.58,47.52
1998-06-29,47.58,1010400.0,48.27,48.2,47.58
1998-06-30,48.2,1206400.0,49.58,49.33,48.14
1998-07-01,49.83,1876400.0,49.83,49.27,48.2
1998-07-02,49.14,335000.0,49.2,48.7,48.64
1998-07-06,48.58,833900.0,48.58,47.89,47.52
1998-07-07,47.89,808500.0,49.14,49.08,47.77
1998-07-08,49.08,1329100.0,51.58,51.58,48.58
1998-07-09,51.45,1265700.0,53.76,52.89,51.33
1998-07-10,52.95,1062200.0,52.95,52.14,51.51
1998-07-13,53.45,2782500.0,53.57,53.57,52.08
1998-07-14,54.01,2264500.0,55.57,54.95,54.01
1998-07-15,54.95,4271000.0,55.57,55.38,53.89
1998-07-16,56.0,7801000.0,57.75,57.75,56.0
1998-07-17,57.31,2841200.0,58.19,57.63,57.31
1998-07-20,57.63,2572100.0,57.63,56.81,56.75
1998-07-21,56.75,1828600.0,56.88,55.44,55.38
1998-07-22,55.31,3394200.0,56.0,55.81,54.56
1998-07-23,55.81,2546600.0,55.88,54.94,54.63
1998-07-24,54.75,3110900.0,54.75,54.06,52.63
1998-07-27,53.94,2101900.0,54.0,53.94,52.63
1998-07-28,53.38,2584100.0,53.63,53.31,52.94
1998-07-29,53.31,3725200.0,54.94,53.38,53.06
1998-07-30,54.0,4780400.0,55.0,54.5,53.31
1998-07-31,54.5,3531200.0,55.5,55.13,54.38
1998-08-03,55.13,2498000.0,55.5,55.25,54.0
1998-08-04,55.94,2984000.0,55.94,53.88,53.75
1998-08-05,53.69,2405100.0,54.5,53.94,53.5
1998-08-06,54.0,2378900.0,55.31,55.25,53.81
1998-08-07,55.5,1855200.0,55.56,54.06,53.63
1998-08-10,53.63,1457800.0,54.94,54.94,53.13
1998-08-11,53.5,1844500.0,54.13,53.31,52.88
1998-08-12,53.5,1890500.0,54.13,52.88,52.31
1998-08-13,52.81,2151300.0,54.13,53.56,52.81
1998-08-14,53.63,1244600.0,53.88,52.69,51.25
1998-08-17,52.0,4093700.0,52.0,51.31,49.38
1998-08-18,51.19,3303900.0,51.25,50.69,50.56
1998-08-19,50.94,1566100.0,51.19,49.63,49.63
1998-08-20,50.0,1940600.0,50.69,50.31,49.94
1998-08-21,50.06,2415400.0,51.5,51.5,49.5
1998-08-24,52.25,2130300.0,53.0,51.88,51.88
1998-08-25,52.75,1827400.0,53.0,51.81,50.81
1998-08-26,51.63,855000.0,51.81,50.94,50.63
1998-08-27,50.44,1865600.0,50.5,50.0,49.0
1998-08-28,49.5,3519100.0,49.5,46.75,45.69
1998-08-31,46.63,2691200.0,46.88,44.0,43.0
1998-09-01,44.63,2710000.0,45.44,44.81,43.0
1998-09-02,44.88,2011200.0,46.5,45.31,44.63
1998-09-03,44.75,2535100.0,44.75,44.31,42.88
1998-09-04,44.63,1418400.0,45.25,45.25,43.75
1998-09-08,46.0,1460700.0,46.88,46.88,45.19
1998-09-09,47.0,2088900.0,47.88,47.38,46.75
1998-09-10,47.13,2300200.0,48.94,48.75,46.31
1998-09-11,48.25,1404100.0,48.25,47.44,47.13
1998-09-14,47.88,1143200.0,49.31,48.56,47.88
1998-09-15,48.13,1122500.0,48.5,47.94,47.81
1998-09-16,48.0,1602800.0,48.0,47.88,46.94
1998-09-17,46.0,1157100.0,46.5,46.44,45.94
1998-09-18,46.0,1363500.0,46.38,45.0,45.0
1998-09-21,45.0,1229400.0,45.81,45.69,44.0
1998-09-22,45.63,1461900.0,47.88,47.81,45.56
1998-09-23,47.88,1713400.0,50.25,50.25,47.88
1998-09-24,50.0,1653800.0,50.0,49.94,49.31
1998-09-25,49.88,1709300.0,49.88,48.75,48.13
1998-09-28,49.13,1312700.0,49.63,48.25,48.0
1998-09-29,48.25,1508700.0,49.44,49.38,48.13
1998-09-30,48.75,722700.0,48.75,48.06,47.75
1998-10-01,47.0,1252400.0,47.5,46.0,46.0
1998-10-02,46.25,1012500.0,47.44,47.06,45.63
1998-10-05,46.94,1333900.0,47.31,46.5,45.38
1998-10-06,46.5,1339100.0,47.56,47.19,46.13
1998-10-07,44.0,17174600.0,44.19,39.0,36.69
1998-10-08,38.38,7944700.0,39.0,38.63,35.25
1998-10-09,40.25,4190300.0,43.38,42.38,37.75
1998-10-12,42.75,3197600.0,43.13,40.5,40.5
1998-10-13,40.5,2061200.0,40.5,39.97,39.06
1998-10-14,39.94,2241700.0,40.75,40.5,39.63
1998-10-15,40.13,2589400.0,41.81,41.81,39.81
1998-10-16,43.44,3320400.0,44.25,42.38,42.06
1998-10-19,42.0,1716900.0,43.63,43.38,42.0
1998-10-20,44.0,2652700.0,45.69,44.56,44.0
1998-10-21,44.56,1004500.0,44.81,44.56,44.0
1998-10-22,44.5,1187600.0,45.44,45.25,44.13
1998-10-23,45.0,1229900.0,45.69,45.38,44.25
1998-10-26,45.0,621800.0,45.88,45.19,44.75
1998-10-27,45.69,1545600.0,45.75,43.44,43.38
1998-10-28,43.0,2172500.0,43.13,42.19,42.0
1998-10-29,41.88,1473900.0,42.81,42.13,41.25
1998-10-30,42.19,1869600.0,45.13,45.13,42.13
1998-11-02,45.13,2560900.0,46.19,44.69,44.06
1998-11-03,44.13,3346200.0,44.88,44.5,44.13
1998-11-04,44.63,3354000.0,45.88,45.38,44.63
1998-11-05,45.25,2445600.0,47.31,47.02,44.88
1998-11-06,47.0,1943600.0,47.5,45.75,45.56
1998-11-09,46.25,1286900.0,46.25,46.0,45.13
1998-11-10,45.75,2011100.0,46.81,45.75,45.5
1998-11-11,46.13,3213100.0,46.94,46.06,45.56
1998-11-12,46.25,4215400.0,48.75,48.75,46.25
1998-11-13,48.0,2898200.0,48.88,47.38,46.38
1998-11-16,47.56,1457600.0,48.19,46.5,45.75
1998-11-17,47.0,3928400.0,47.0,46.63,45.75
1998-11-18,45.94,2279600.0,46.25,44.5,44.5
1998-11-19,45.38,2054400.0,46.44,46.25,45.31
1998-11-20,46.38,2133700.0,46.44,44.94,44.81
1998-11-23,45.13,2380000.0,46.5,46.5,44.88
1998-11-24,46.38,2029400.0,47.25,45.75,45.44
1998-11-25,44.62,3026200.0,45.0,44.06,43.56
1998-11-27,43.94,497200.0,44.0,43.94,43.38
1998-11-30,43.88,1976900.0,43.88,42.88,42.5
1998-12-01,42.88,2299400.0,43.5,42.56,42.38
1998-12-02,42.5,1550800.0,42.56,42.25,42.13
1998-12-03,41.88,4558900.0,42.13,41.13,40.38
1998-12-04,41.25,3890700.0,44.25,44.25,41.25
1998-12-07,44.63,2030800.0,46.0,45.63,44.63
1998-12-08,45.38,2443700.0,46.0,44.44,44.25
1998-12-09,45.75,2848500.0,46.75,45.88,45.63
1998-12-10,45.0,1536700.0,47.0,46.63,44.5
1998-12-11,46.63,918200.0,46.63,45.56,45.5
1998-12-14,44.88,1892500.0,45.0,43.56,43.31
