date,1. open,5. volume,2. high,4. close,3. low
2011-12-12,22.5,988500.0,23.42,19.25,17.92
2011-12-13,19.2,758700.0,19.2,18.5,18.05
2011-12-14,18.3,616900.0,18.33,18.07,17.57
2011-12-15,18.01,1695700.0,18.26,18.01,17.8
2011-12-16,18.05,505500.0,18.05,17.58,17.41
2011-12-19,17.31,244300.0,18.04,17.25,17.01
2011-12-20,17.35,253100.0,17.79,17.5,17.25
2011-12-21,17.8,204900.0,17.84,17.5,17.31
2011-12-22,17.45,252200.0,17.84,17.62,17.45
2011-12-23,17.72,619400.0,18.49,18.26,17.72
2011-12-27,18.41,349500.0,18.54,18.49,17.85
2011-12-28,18.39,703700.0,18.51,18.4,17.86
2011-12-29,18.37,900600.0,18.45,18.0,17.79
2011-12-30,18.2,2956400.0,18.2,18.17,17.7
2012-01-03,18.38,7727900.0,18.67,18.1,17.86
2012-01-04,18.1,7097300.0,18.15,17.72,17.47
2012-01-05,17.48,3929000.0,17.85,17.52,17.25
2012-01-06,17.49,6460700.0,17.55,17.28,17.26
2012-01-09,17.3,5624400.0,17.3,16.67,16.21
2012-01-10,16.39,9557000.0,17.2,16.98,15.84
2012-01-11,16.58,6618700.0,16.93,16.51,16.45
2012-01-12,16.51,10482400.0,16.53,15.66,15.61
2012-01-13,15.47,6402500.0,15.81,15.66,15.21
2012-01-17,15.67,4529300.0,15.81,15.49,15.1
2012-01-18,15.33,4035200.0,15.43,15.35,15.1
2012-01-19,15.31,5832300.0,15.63,14.83,14.61
2012-01-20,14.84,6509800.0,14.99,14.75,14.2
2012-01-23,14.8,5656200.0,15.33,15.09,14.69
2012-01-24,15.01,3665000.0,15.74,15.31,14.82
2012-01-25,15.27,5308600.0,16.33,16.18,15.2
2012-01-26,16.14,2591800.0,16.19,15.69,15.52
2012-01-27,15.58,2834400.0,16.16,16.05,15.4
2012-01-30,15.92,2809600.0,16.46,16.38,15.53
2012-01-31,16.53,4594300.0,16.75,16.48,16.3
2012-02-01,16.68,3663500.0,16.89,16.52,16.14
2012-02-02,16.51,2693400.0,16.65,16.5,16.25
2012-02-03,16.62,2834400.0,16.93,16.45,16.35
2012-02-06,16.4,2093300.0,16.76,16.67,16.38
2012-02-07,16.65,3631800.0,17.32,17.31,16.54
2012-02-08,17.31,5646100.0,18.27,18.13,17.26
2012-02-09,18.23,4325300.0,18.54,17.81,17.62
2012-02-10,17.62,1548900.0,17.63,17.54,17.26
2012-02-13,17.57,4006100.0,17.6,17.54,16.96
2012-02-14,17.43,2158200.0,17.9,17.58,17.17
2012-02-15,17.61,3916200.0,18.29,18.0,17.53
2012-02-16,18.15,4315200.0,19.35,18.52,17.8
2012-02-17,19.03,3263000.0,19.24,18.87,18.77
2012-02-21,19.16,3710400.0,19.29,19.04,18.85
2012-02-22,19.13,2448600.0,19.13,18.42,18.25
2012-02-23,18.16,2677600.0,19.12,19.04,17.6
