date,1. open,5. volume,2. high,4. close,3. low
2015-06-24,63.45,3300.0,63.45,63.38,63.38
2015-06-25,62.9,3700.0,62.9,61.9,61.9
2015-06-26,61.9,100.0,61.9,61.9,61.9
2015-06-29,60.92,300.0,60.92,60.8,60.8
2015-06-30,61.33,1815500.0,61.4,60.9,60.33
2015-07-01,60.74,192400.0,62.4,62.4,60.63
2015-07-02,63.0,1744987.0,65.0,64.99,62.4
2015-07-06,65.12,2092257.0,66.4,63.75,62.99
2015-07-07,63.91,3053125.0,63.99,62.47,61.54
2015-07-08,62.5,3784289.0,63.9,59.71,59.5
2015-07-09,59.5,2284226.0,60.93,59.51,58.51
2015-07-10,59.97,2237703.0,61.6,61.4,59.4
2015-07-13,62.04,1248987.0,62.25,62.12,61.61
2015-07-14,62.1,994808.0,63.05,62.19,61.44
2015-07-15,62.25,1209854.0,62.93,61.62,61.13
2015-07-16,61.7,1365863.0,63.68,62.32,61.536
2015-07-17,62.62,1213162.0,63.25,61.75,61.64
2015-07-20,62.0,1977775.0,62.93,61.55,61.5
2015-07-21,61.84,1808280.0,62.86,59.85,59.62
2015-07-22,60.35,900133.0,61.14,60.14,59.57
2015-07-23,59.77,1124672.0,60.78,59.85,59.35
2015-07-24,59.55,1154608.0,59.95,58.91,57.66
2015-07-27,58.45,1255150.0,59.42,58.19,57.865
2015-07-28,58.52,1636666.0,59.75,59.34,57.49
2015-07-29,58.88,1790204.0,59.73,59.39,58.08
2015-07-30,61.36,3530135.0,63.19,62.83,61.04
2015-07-31,61.5,1624924.0,63.75,63.06,61.16
2015-08-03,63.37,2128045.0,64.74,63.17,62.39
2015-08-04,62.25,702962.0,63.45,62.57,62.24
2015-08-05,63.29,1495186.0,63.96,62.75,62.22
2015-08-06,62.0,2536887.0,62.5,61.74,60.48
2015-08-07,61.68,2060919.0,62.61,62.56,60.98
2015-08-10,62.99,1424070.0,63.5,62.98,61.9
2015-08-11,64.0,1727206.0,64.0,63.4,61.71
2015-08-12,63.4,1396295.0,63.87,63.31,61.71
2015-08-13,63.26,844266.0,63.7975,63.13,62.35
2015-08-14,63.13,938717.0,63.81,63.23,61.959
2015-08-17,62.63,714354.0,63.41,63.34,62.63
2015-08-18,63.02,806543.0,63.58,63.16,62.91
2015-08-19,62.98,1078040.0,63.29,62.07,62.07
