date,1. open,5. volume,2. high,4. close,3. low
2006-10-02,19.2,7111800.0,20.08,19.76,19.17
2006-10-03,19.89,11416000.0,20.04,20.0,19.63
2006-10-04,20.0,10722800.0,20.05,19.78,19.5
2006-10-05,19.95,8782400.0,19.95,19.64,19.59
2006-10-06,19.7,6282100.0,19.78,19.57,19.32
2006-10-09,19.9,3518000.0,19.96,19.73,19.51
2006-10-10,19.58,6132200.0,19.82,19.71,19.5
2006-10-11,19.68,9504800.0,19.68,19.31,19.28
2006-10-12,19.42,8323700.0,19.42,19.03,18.95
2006-10-13,19.0,10659500.0,19.02,18.87,18.57
2006-10-16,19.06,9966300.0,19.22,18.74,18.72
2006-10-17,18.5,4902400.0,18.68,18.58,18.36
2006-10-18,18.55,6600200.0,19.12,19.0,18.55
2006-10-19,19.4,8959200.0,19.75,19.5,19.2
2006-10-20,19.6,5712600.0,20.0,19.63,19.44
2006-10-23,19.66,6780900.0,19.88,19.58,19.14
2006-10-24,20.0,14763500.0,21.0,19.95,19.9
2006-10-25,20.06,11829500.0,22.2,21.85,20.05
2006-10-26,21.72,13490500.0,23.04,22.34,21.65
2006-10-27,22.1,4564700.0,22.34,21.95,21.52
2006-10-30,21.98,5795000.0,22.2,22.11,21.45
2006-10-31,22.36,4165200.0,22.78,22.05,21.81
2006-11-01,22.15,8517800.0,22.58,21.97,21.94
2006-11-02,21.68,7359000.0,22.08,21.83,21.44
2006-11-03,22.08,4821000.0,22.29,21.54,21.34
2006-11-06,22.05,5462100.0,22.41,22.23,21.79
2006-11-07,22.13,5057500.0,22.94,22.5,22.13
2006-11-08,22.34,4660200.0,22.88,22.62,22.22
2006-11-09,22.6,8630700.0,23.55,23.28,22.5
2006-11-10,23.28,4421300.0,23.5,22.83,22.76
2006-11-13,23.2,5379500.0,23.44,23.24,22.88
2006-11-14,23.48,4358300.0,23.55,23.42,22.9
2006-11-15,23.63,4149900.0,23.8,23.35,23.31
2006-11-16,23.5,4629000.0,23.8,23.12,23.1
2006-11-17,22.98,4082900.0,23.2,22.68,22.65
2006-11-20,22.68,3844400.0,22.82,22.51,22.21
2006-11-21,22.63,4081200.0,22.84,22.55,22.54
2006-11-22,22.45,2753500.0,22.66,22.54,22.36
2006-11-24,22.52,886000.0,22.55,22.36,22.36
2006-11-27,22.1675,4876600.0,22.37,21.85,21.72
2006-11-28,21.66,4878100.0,22.5,21.62,21.49
2006-11-29,22.5,5716900.0,23.84,22.16,21.52
2006-11-30,22.19,6002400.0,22.94,22.8,22.09
2006-12-01,22.41,4519400.0,22.85,22.85,22.41
2006-12-04,23.05,5347100.0,23.75,23.5,22.9
2006-12-05,23.5,7449100.0,24.14,24.12,23.38
2006-12-06,24.1,5195700.0,24.1,23.45,23.35
2006-12-07,23.45,5155300.0,24.06,23.91,23.34
2006-12-08,23.84,3518300.0,24.1,23.85,23.74
2006-12-11,23.65,3447100.0,23.75,23.57,23.24
2006-12-12,23.45,3342400.0,23.65,23.29,22.95
2006-12-13,23.3,4484900.0,23.31,22.84,22.5
2006-12-14,23.02,5321800.0,23.24,22.77,22.55
2006-12-15,22.6,5120800.0,23.08,22.99,22.6
2006-12-18,22.99,4316100.0,23.09,22.88,22.75
2006-12-19,22.88,2284100.0,23.03,22.55,22.55
2006-12-20,22.7,2778400.0,22.7,22.39,22.33
2006-12-21,22.31,3918900.0,22.5,22.22,22.14
2006-12-22,22.21,3743900.0,22.4,21.98,21.92
2006-12-26,22.22,1584800.0,22.25,22.12,22.0
2006-12-27,22.17,2409600.0,22.56,22.5,22.13
2006-12-28,22.41,1717900.0,22.5,22.35,22.2
2006-12-29,22.35,2157700.0,22.58,22.42,22.3
2007-01-03,22.9,5910100.0,23.34,22.71,22.42
2007-01-04,22.6,2834300.0,23.04,22.91,22.5
2007-01-05,22.9,5548800.0,22.97,22.33,22.3
2007-01-08,22.32,2829800.0,22.37,21.96,21.82
2007-01-09,21.95,3600900.0,22.34,22.25,21.85
2007-01-10,22.9,5745000.0,23.09,22.46,22.38
2007-01-11,22.56,3325900.0,22.77,22.64,22.24
2007-01-12,22.65,4191600.0,22.91,22.79,22.58
2007-01-16,22.95,6111500.0,23.0,22.2,22.16
2007-01-17,22.2,5909800.0,22.4,21.72,21.65
2007-01-18,21.8,2606300.0,21.98,21.6,21.54
2007-01-19,21.7,4957200.0,21.71,21.41,21.24
2007-01-22,21.16,5065800.0,21.56,21.03,21.01
2007-01-23,21.11,5165300.0,21.87,21.8,21.02
2007-01-24,21.26,4683400.0,21.86,21.4,21.26
2007-01-25,21.41,5218300.0,21.63,21.07,20.97
2007-01-26,21.1,3867700.0,21.22,20.94,20.74
2007-01-29,20.86,4412800.0,21.58,21.19,20.8
2007-01-30,21.33,3882600.0,21.8865,21.72,21.25
2007-01-31,21.6,5334200.0,22.56,22.34,21.55
2007-02-01,22.1,10378600.0,23.56,23.55,21.65
2007-02-02,23.55,5619700.0,23.55,23.02,22.82
2007-02-05,23.15,4096100.0,23.22,22.85,22.85
2007-02-06,22.75,3607600.0,22.9928,22.53,22.46
2007-02-07,22.58,4112500.0,22.72,22.55,22.3
2007-02-08,22.5,3474200.0,22.5,22.1,22.05
2007-02-09,21.99,3188300.0,22.3,21.8,21.55
2007-02-12,21.8,2305700.0,22.0,21.97,21.57
2007-02-13,21.98,3069700.0,22.16,21.96,21.8
2007-02-14,22.17,3537000.0,22.35,22.32,21.99
2007-02-15,22.35,3045800.0,22.53,22.48,22.347
2007-02-16,22.41,3170800.0,22.68,22.15,22.11
2007-02-20,22.1,2548000.0,22.3,22.16,22.0
2007-02-21,22.16,2863500.0,22.33,22.14,22.0
2007-02-22,22.09,5613400.0,22.14,21.8,21.65
2007-02-23,21.91,5670300.0,22.03,21.89,21.75
2007-02-26,21.98,3726100.0,22.48,22.37,21.75
2007-02-27,21.9,7065300.0,22.42,21.65,21.53
2007-02-28,21.65,7684500.0,22.02,21.67,21.42
2007-03-01,21.45,5842600.0,21.6,21.41,21.31
2007-03-02,21.02,4752400.0,21.31,21.08,20.75
2007-03-05,20.83,3962200.0,21.46,21.19,20.76
2007-03-06,21.5,4179500.0,21.9,21.87,21.25
2007-03-07,21.77,3303500.0,21.8,21.36,21.31
2007-03-08,21.6,3189900.0,21.84,21.41,21.3
2007-03-09,21.45,5337500.0,21.51,21.14,20.85
2007-03-12,21.02,5034300.0,21.62,21.55,20.83
2007-03-13,21.36,4607600.0,21.5,21.17,21.08
2007-03-14,21.15,3823900.0,21.34,21.27,20.79
2007-03-15,21.27,3818900.0,21.86,21.82,21.24
2007-03-16,21.9,3819200.0,22.0,21.61,21.51
2007-03-19,21.66,1987300.0,21.96,21.83,21.62
2007-03-20,21.77,5019600.0,22.02,21.51,21.41
2007-03-21,21.62,4736800.0,21.91,21.85,21.32
2007-03-22,21.83,5440300.0,21.95,21.68,21.62
2007-03-23,21.98,5162800.0,22.45,22.34,21.9
2007-03-26,22.31,4136100.0,22.74,22.63,22.28
2007-03-27,22.6,3758400.0,22.99,22.62,22.53
2007-03-28,22.52,4180800.0,23.05,22.45,22.43
2007-03-29,22.6,2875000.0,22.61,22.21,21.87
2007-03-30,22.26,3086600.0,22.36,21.95,21.62
2007-04-02,22.62,3765800.0,22.62,22.18,21.95
2007-04-03,22.4,3835300.0,22.68,22.48,22.24
2007-04-04,22.52,4645500.0,22.69,22.6,22.5
2007-04-05,22.59,3884800.0,23.0,22.87,22.59
2007-04-09,22.87,6807900.0,23.17,23.02,22.79
2007-04-10,23.07,3963800.0,23.22,23.17,22.97
2007-04-11,23.13,5241900.0,23.3,23.13,23.0
2007-04-12,23.13,3275200.0,23.13,22.82,22.66
2007-04-13,23.76,3287900.0,23.76,22.48,22.4
2007-04-16,22.5,3448500.0,22.55,22.55,22.39
2007-04-17,22.62,3465900.0,22.98,22.88,22.59
2007-04-18,22.72,3697800.0,22.97,22.84,22.53
2007-04-19,22.98,4001700.0,23.23,23.16,22.68
2007-04-20,23.48,3893700.0,23.48,23.26,23.0
2007-04-23,23.2,3564800.0,23.33,22.85,22.62
2007-04-24,22.85,3327300.0,22.99,22.93,22.55
2007-04-25,21.39,26088200.0,21.9,21.59,20.85
2007-04-26,21.35,6698200.0,22.49,21.69,21.35
2007-04-27,21.71,5863500.0,21.85,21.71,21.42
2007-04-30,21.47,7938000.0,21.64,21.05,21.02
2007-05-01,21.1,9894500.0,21.29,20.87,20.74
2007-05-02,20.85,8512200.0,21.04,20.94,20.79
2007-05-03,20.97,6839000.0,21.54,21.51,20.84
2007-05-04,21.51,3533500.0,21.63,21.54,21.22
2007-05-07,21.55,3007000.0,21.72,21.64,21.51
2007-05-08,21.55,4169000.0,21.7,21.34,21.14
2007-05-09,21.32,3683300.0,21.68,21.48,21.11
2007-05-10,21.32,3672500.0,21.36,21.16,21.16
