date,1. open,5. volume,2. high,4. close,3. low
2006-07-19,32.5,601100.0,33.83,32.5,32.45
2006-07-20,32.55,729700.0,32.9,32.77,32.55
2006-07-21,32.82,490800.0,33.1,32.9,32.74
2006-07-24,32.9,247000.0,32.98,32.4,31.95
2006-07-25,32.3,651000.0,34.87,34.41,31.85
2006-07-26,33.75,252200.0,33.75,32.24,31.74
2006-07-27,32.2,615000.0,32.4,31.52,31.2
2006-07-28,31.5,441200.0,33.05,33.0,31.15
2006-07-31,33.0,2573300.0,34.0,33.45,32.6
2006-08-01,33.45,3637200.0,33.5,31.85,31.11
2006-08-02,31.0,3424900.0,31.6,30.01,29.93
2006-08-03,30.0,2120300.0,30.35,29.49,29.45
2006-08-04,29.55,2460600.0,29.98,28.24,28.12
2006-08-07,28.05,4562300.0,28.07,27.01,25.48
2006-08-08,27.15,3244200.0,27.4,26.85,26.75
2006-08-09,27.05,3400700.0,27.2,26.07,25.65
2006-08-10,25.5,3774500.0,28.31,28.15,25.5
2006-08-11,28.1,1714300.0,29.37,28.74,28.1
2006-08-14,28.45,1329000.0,28.54,27.54,27.47
2006-08-15,28.2,1081700.0,28.56,28.5,28.1
2006-08-16,28.5,1192100.0,28.63,28.11,28.05
2006-08-17,28.0,1096400.0,28.2,27.63,27.54
2006-08-18,27.85,1160400.0,28.47,27.77,27.76
2006-08-21,27.1,711000.0,27.58,27.04,27.03
2006-08-22,26.4,1019600.0,26.71,26.45,26.34
2006-08-23,26.2,726200.0,26.7,26.38,26.2
2006-08-24,27.55,2342800.0,28.86,27.88,27.55
2006-08-25,27.88,1702100.0,28.91,28.87,27.84
2006-08-28,28.87,2152800.0,29.5,28.5,28.41
2006-08-29,28.65,914800.0,29.14,28.82,28.65
2006-08-30,29.0,814000.0,29.25,28.98,28.91
2006-08-31,29.05,833900.0,29.38,29.26,29.01
2006-09-01,29.35,1082100.0,29.56,29.45,29.19
2006-09-05,29.2,915200.0,29.51,29.44,29.08
2006-09-06,29.2,1354100.0,29.6,28.69,28.68
2006-09-07,28.75,897100.0,28.85,28.6,28.45
2006-09-08,28.46,1641900.0,28.7,28.54,28.07
2006-09-11,28.5,830800.0,29.15,28.89,28.41
2006-09-12,28.89,2140300.0,29.15,29.04,28.53
2006-09-13,28.95,1091800.0,29.34,29.05,28.89
2006-09-14,28.8,1131100.0,29.48,29.23,28.8
2006-09-15,29.23,1411000.0,29.23,28.93,28.68
2006-09-18,28.8,1243700.0,29.08,28.6,28.48
2006-09-19,28.55,1194400.0,28.55,28.33,28.15
2006-09-20,28.33,1268900.0,28.4,28.28,28.17
2006-09-21,28.05,1241200.0,28.33,27.64,27.6
2006-09-22,27.65,1252500.0,27.7,26.99,26.89
2006-09-25,27.1,1091300.0,27.9,27.62,26.95
2006-09-26,27.66,1120600.0,28.35,27.66,27.52
2006-09-27,27.6,1075600.0,28.3,27.98,27.349
2006-09-28,27.88,785000.0,28.08,27.72,27.63
2006-09-29,27.6,957600.0,28.13,27.97,27.59
2006-10-02,27.75,1024000.0,28.16,27.68,27.62
2006-10-03,27.58,1077300.0,28.05,27.9,27.5
2006-10-04,27.75,1165500.0,28.08,28.0,27.71
2006-10-05,27.98,1809700.0,28.73,28.26,27.75
2006-10-06,28.15,1086600.0,28.6,28.44,28.14
2006-10-09,28.27,782100.0,29.05,29.0,28.1
2006-10-10,28.8,1206700.0,29.3,29.24,28.63
2006-10-11,29.0,1742000.0,29.04,28.59,28.2
2006-10-12,28.59,1150700.0,29.43,29.1,28.5
2006-10-13,28.9,1041700.0,29.52,29.49,28.9
2006-10-16,29.41,1426200.0,30.05,29.87,29.2107
2006-10-17,29.7,687500.0,29.95,29.76,29.38
2006-10-18,29.95,854900.0,30.26,29.82,29.51
2006-10-19,29.88,1217700.0,29.97,29.88,29.7
