date,1. open,5. volume,2. high,4. close,3. low
2002-10-25,13.05,13965800.0,13.15,13.01,12.85
2002-10-28,13.01,5505900.0,13.05,13.01,12.96
2002-10-29,13.0,2235800.0,13.01,12.64,12.04
2002-10-30,12.61,905800.0,12.62,12.5,12.13
2002-10-31,12.56,298900.0,13.02,12.61,12.5
2002-11-01,12.59,268800.0,12.7,12.61,12.57
2002-11-04,12.66,1307600.0,12.95,12.91,12.65
2002-11-05,12.92,2384700.0,13.24,13.02,12.89
2002-11-06,13.03,204300.0,13.2,13.0,13.0
2002-11-07,13.08,724200.0,13.16,13.05,12.36
2002-11-08,13.02,106400.0,13.04,12.93,12.83
2002-11-11,13.0,110500.0,13.0,12.71,12.65
2002-11-12,12.73,540700.0,12.74,11.96,11.86
2002-11-13,12.05,685600.0,12.09,11.1,10.76
2002-11-14,11.13,462800.0,11.25,11.09,10.88
2002-11-15,11.1,460700.0,11.56,11.55,11.08
2002-11-18,11.58,325400.0,13.05,12.18,11.57
2002-11-19,12.36,211400.0,12.8,12.6,12.02
2002-11-20,12.56,92700.0,12.6,12.41,12.23
2002-11-21,12.54,91300.0,12.85,12.85,12.54
2002-11-22,12.85,55300.0,12.86,12.65,12.5
2002-11-25,12.8,111000.0,13.0,12.93,12.66
2002-11-26,12.94,59300.0,12.94,12.74,12.74
2002-11-27,12.9,94300.0,12.9,12.5,12.5
2002-11-29,12.78,35400.0,12.89,12.82,12.6
2002-12-02,12.94,93600.0,12.95,12.41,12.35
2002-12-03,12.5,31100.0,12.5,12.37,12.31
2002-12-04,12.45,42300.0,12.6,12.6,12.31
2002-12-05,12.85,366100.0,13.3,13.28,12.76
2002-12-06,13.15,129300.0,13.38,13.18,12.99
2002-12-09,13.29,106900.0,13.3,13.0,12.87
2002-12-10,13.0,48300.0,13.19,13.0,12.93
2002-12-11,13.1,189700.0,13.35,13.25,13.02
2002-12-12,13.39,361400.0,13.8,13.74,13.27
2002-12-13,13.73,615500.0,14.39,13.6,13.53
2002-12-16,13.75,170900.0,14.07,13.68,13.66
2002-12-17,13.91,95100.0,13.91,13.49,13.31
2002-12-18,13.5,110800.0,13.59,13.32,13.06
2002-12-19,13.5,233700.0,13.5,12.75,12.5
2002-12-20,12.8,134900.0,13.4,13.09,12.69
2002-12-23,13.09,65300.0,13.59,13.45,13.01
2002-12-24,13.6,52300.0,13.91,13.51,13.32
2002-12-26,13.66,16300.0,13.66,13.25,12.97
2002-12-27,13.29,42500.0,13.29,13.0,12.95
2002-12-30,13.1,26700.0,13.37,13.1,13.0
2002-12-31,13.35,72000.0,13.5,13.11,13.1
2003-01-02,13.01,89700.0,13.5,13.5,13.0
2003-01-03,13.5,73200.0,13.6,13.4,13.32
2003-01-06,13.4,90700.0,13.56,13.29,13.29
2003-01-07,13.36,99300.0,13.52,13.31,13.2
2003-01-08,13.11,159100.0,13.2,13.03,12.76
2003-01-09,13.08,125900.0,13.13,13.0,12.85
2003-01-10,13.08,70500.0,13.1,13.0,12.95
2003-01-13,13.1,194700.0,13.33,13.33,13.0
2003-01-14,13.33,131200.0,13.61,13.45,13.291
2003-01-15,13.6,80300.0,13.67,13.67,13.44
2003-01-16,13.67,95500.0,13.91,13.91,13.45
2003-01-17,13.81,71300.0,14.01,13.48,13.47
2003-01-21,13.53,107700.0,13.91,13.72,13.46
2003-01-22,13.73,121500.0,14.3,14.26,13.58
2003-01-23,14.3,185500.0,14.8,14.25,14.2
2003-01-24,14.4,130500.0,14.4,14.0,13.95
2003-01-27,14.0,74000.0,14.49,14.13,13.97
2003-01-28,14.21,65700.0,14.4,14.26,14.0
2003-01-29,14.21,102800.0,14.4,14.26,14.0
2003-01-30,14.0,62600.0,14.17,13.77,13.76
2003-01-31,13.91,184000.0,13.96,13.75,13.66
2003-02-03,13.78,120100.0,13.87,13.64,13.63
2003-02-04,13.5,121800.0,13.59,13.58,13.35
2003-02-05,13.6,60200.0,13.71,13.55,13.35
2003-02-06,13.76,110600.0,14.65,14.4,13.6
2003-02-07,14.4,129500.0,14.56,13.95,13.79
2003-02-10,14.06,54600.0,14.14,13.71,13.7
2003-02-11,13.79,231000.0,14.54,14.31,13.71
2003-02-12,14.31,190500.0,14.31,13.94,13.94
2003-02-13,14.04,107800.0,14.17,13.98,13.95
2003-02-14,13.96,61100.0,14.49,14.33,13.86
2003-02-18,14.35,91100.0,14.49,14.45,14.06
2003-02-19,14.39,93500.0,14.49,14.29,13.96
2003-02-20,14.15,46800.0,14.39,14.06,14.0
2003-02-21,14.18,71500.0,14.35,14.06,13.93
2003-02-24,14.18,38800.0,14.23,14.0,13.98
2003-02-25,14.05,121100.0,14.24,14.18,13.78
2003-02-26,14.2,47600.0,14.2,13.95,13.81
2003-02-27,14.0,36500.0,14.05,13.95,13.85
2003-02-28,14.0,42700.0,14.29,14.22,13.85
2003-03-03,14.1,248400.0,14.34,14.08,13.96
2003-03-04,14.12,258400.0,14.14,14.05,13.95
2003-03-05,14.15,45500.0,14.15,13.92,13.85
2003-03-06,13.86,31300.0,14.05,14.0,13.85
2003-03-07,14.01,45300.0,14.2,14.16,13.95
2003-03-10,14.15,26700.0,14.3,14.16,14.08
2003-03-11,14.27,93400.0,14.27,14.09,14.02
2003-03-12,14.11,175200.0,14.14,13.83,13.82
2003-03-13,13.87,40800.0,14.13,14.07,13.86
2003-03-14,14.0,193100.0,14.2,14.05,14.0
2003-03-17,14.18,119900.0,14.19,14.12,13.85
2003-03-18,13.96,101900.0,14.2,14.14,13.96
2003-03-19,14.18,24100.0,14.2,14.12,14.1
2003-03-20,14.16,50400.0,14.29,14.2,14.1
2003-03-21,14.25,358200.0,14.59,14.57,14.1
2003-03-24,14.48,135100.0,14.48,14.31,14.11
2003-03-25,14.34,150200.0,15.5,15.4,14.33
2003-03-26,14.9,64500.0,15.37,15.0,14.9
2003-03-27,15.07,129500.0,15.07,14.63,14.35
2003-03-28,14.6,65500.0,15.25,15.04,14.55
2003-03-31,15.01,163100.0,15.5,15.4,14.92
2003-04-01,15.25,172600.0,15.4,14.91,14.68
2003-04-02,15.02,115400.0,15.31,15.01,14.92
2003-04-03,15.0,601900.0,15.05,14.85,14.76
2003-04-04,15.01,53500.0,15.4,15.34,14.99
2003-04-07,15.35,131200.0,15.89,15.87,15.33
2003-04-08,15.789,128400.0,16.29,16.25,15.63
2003-04-09,16.289,231300.0,17.27,16.53,16.25
2003-04-10,16.669,160500.0,16.67,16.12,16.0
2003-04-11,16.14,84100.0,16.22,16.22,15.77
2003-04-14,16.09,78500.0,16.3,16.15,15.88
2003-04-15,16.13,93500.0,16.41,16.3,15.9
2003-04-16,16.4,93700.0,16.4,16.11,15.97
2003-04-17,16.12,95200.0,16.22,16.01,15.8
2003-04-21,16.0,208700.0,16.0,15.62,15.34
2003-04-22,15.91,236700.0,15.91,15.52,14.71
2003-04-23,15.49,390300.0,17.11,16.92,15.49
2003-04-24,16.87,62500.0,16.91,16.6,16.4
2003-04-25,16.499,81100.0,17.4,17.02,16.4
2003-04-28,16.96,211900.0,17.4,17.37,16.8
2003-04-29,17.15,68200.0,17.42,17.24,17.07
2003-04-30,17.43,99400.0,17.43,17.0,16.85
2003-05-01,17.0,170900.0,17.29,17.16,16.38
2003-05-02,17.071,173000.0,17.17,17.15,16.94
2003-05-05,17.2,98000.0,17.25,17.25,17.1
2003-05-06,17.2,196400.0,17.69,17.57,17.19
2003-05-07,17.489,182700.0,17.6,17.549,17.39
2003-05-08,17.6,326800.0,17.63,17.21,17.11
2003-05-09,17.26,168800.0,17.5,16.9,16.75
2003-05-12,16.9,252200.0,17.55,17.3,16.88
2003-05-13,17.33,184700.0,17.4,17.4,17.13
2003-05-14,17.43,167400.0,17.93,17.9,17.13
2003-05-15,17.91,265100.0,17.97,17.96,17.54
2003-05-16,17.92,580300.0,19.1,19.01,17.79
2003-05-19,18.909,219100.0,19.11,18.95,18.85
2003-05-20,18.95,303300.0,19.05,19.0,18.81
2003-05-21,19.04,187600.0,19.04,18.82,18.41
2003-05-22,18.71,168800.0,19.0,18.98,18.61
2003-05-23,18.3,427500.0,18.76,18.64,18.15
2003-05-27,18.55,136700.0,18.8,18.63,18.4
2003-05-28,18.65,99800.0,18.7,18.53,18.5
2003-05-29,18.7,79000.0,18.71,18.65,18.47
2003-05-30,18.65,113100.0,18.9,18.83,18.61
2003-06-02,18.9,145800.0,19.0,18.95,18.81
2003-06-03,18.99,161900.0,18.99,18.51,18.45
2003-06-04,18.56,260500.0,18.56,18.25,18.05
2003-06-05,18.24,81600.0,18.5,18.33,18.05
2003-06-06,18.5,202100.0,18.7,18.6,18.41
2003-06-09,18.6,63900.0,18.6,18.27,18.0
2003-06-10,18.4,148800.0,18.45,18.0,17.96
2003-06-11,18.05,530800.0,18.12,18.0,17.8
2003-06-12,18.14,212900.0,18.14,17.96,17.721
2003-06-13,18.1,428000.0,18.19,17.92,17.86
2003-06-16,18.0,263900.0,18.1,17.99,17.85
2003-06-17,17.97,137900.0,18.0,17.92,17.86
2003-06-18,17.94,179700.0,18.15,17.99,17.9
2003-06-19,18.109,230900.0,18.11,18.0,17.91
2003-06-20,17.99,228300.0,18.0,18.0,17.82
2003-06-23,17.99,179100.0,17.99,17.48,17.43
2003-06-24,17.5,181100.0,17.55,17.48,17.45
2003-06-25,17.53,178300.0,17.61,17.26,17.2
2003-06-26,17.299,221500.0,17.5,17.42,17.05
2003-06-27,17.499,295000.0,17.79,17.75,17.441
2003-06-30,17.75,989000.0,18.07,17.69,17.43
2003-07-01,16.4,8665700.0,17.78,17.57,15.9
2003-07-02,17.92,1350700.0,18.0,17.7,17.32
2003-07-03,17.39,302500.0,17.75,17.38,17.25
2003-07-07,17.5,385900.0,17.85,17.51,17.37
2003-07-08,17.5,1057800.0,17.97,17.9,17.46
2003-07-09,17.95,284200.0,17.95,17.82,17.51
2003-07-10,17.73,118500.0,17.8,17.7,17.63
2003-07-11,17.75,72400.0,17.75,17.49,17.46
2003-07-14,17.49,143000.0,17.8,17.29,17.2
2003-07-15,17.28,74800.0,17.6,17.55,17.28
2003-07-16,17.5,149500.0,17.63,16.87,16.8
2003-07-17,16.95,352400.0,17.52,16.89,16.27
2003-07-18,16.9,169000.0,17.0,16.66,16.5
2003-07-21,16.6,319000.0,17.08,16.71,16.6
2003-07-22,16.89,266900.0,16.89,16.55,16.4
2003-07-23,16.42,79700.0,16.59,16.26,16.0
2003-07-24,16.3,74300.0,16.48,16.35,16.25
2003-07-25,16.34,87700.0,16.53,16.4,16.22
2003-07-28,16.5,101600.0,16.62,16.5,16.32
2003-07-29,16.57,270300.0,16.96,16.95,16.32
2003-07-30,17.0,167400.0,17.14,16.98,16.84
2003-07-31,17.02,424500.0,17.16,17.05,16.9
2003-08-01,17.09,95100.0,17.27,16.72,16.7
2003-08-04,16.91,278600.0,17.09,16.8,16.69
2003-08-05,16.8,323800.0,16.89,16.23,16.23
2003-08-06,16.2,172600.0,16.39,16.39,16.1
2003-08-07,16.26,583700.0,16.31,16.03,15.85
2003-08-08,15.99,238200.0,16.09,15.5,15.5
2003-08-11,15.65,266100.0,16.0,15.63,15.47
2003-08-12,15.71,500400.0,15.75,15.57,15.48
2003-08-13,15.75,365000.0,15.8,15.29,15.25
2003-08-14,15.3,561100.0,15.44,15.31,14.99
2003-08-15,15.27,98300.0,15.65,15.6,15.2
2003-08-18,15.51,408700.0,15.75,15.49,15.4
2003-08-19,15.579,257300.0,15.58,15.58,15.31
2003-08-20,15.499,318800.0,15.75,15.6,15.364
2003-08-21,15.56,185200.0,15.64,15.51,15.5
2003-08-22,15.6,589200.0,16.808,16.66,15.51
2003-08-25,16.73,258600.0,16.99,16.37,16.28
2003-08-26,16.3,240400.0,16.7,16.35,16.25
2003-08-27,16.27,344800.0,16.3,16.04,15.99
2003-08-28,16.0,802800.0,16.21,16.16,15.75
2003-08-29,16.25,293800.0,16.7,16.65,16.25
2003-09-02,16.7,202700.0,16.84,16.65,16.32
2003-09-03,16.65,236500.0,16.79,16.5,16.461
2003-09-04,16.64,244400.0,16.83,16.29,16.26
2003-09-05,16.5,195500.0,16.5,16.32,16.24
2003-09-08,16.5,270600.0,17.29,16.96,16.28
2003-09-09,16.7,437300.0,16.96,16.67,16.67
2003-09-10,16.81,1050300.0,16.92,16.64,16.46
2003-09-11,16.57,227000.0,16.74,16.66,16.51
2003-09-12,16.54,231000.0,16.97,16.97,16.42
2003-09-15,16.85,670900.0,17.21,17.14,16.85
2003-09-16,17.23,484100.0,17.45,17.35,16.95
2003-09-17,17.3,299400.0,18.07,17.94,17.22
2003-09-18,18.04,340100.0,18.05,17.76,17.73
2003-09-19,17.73,337300.0,17.97,17.93,17.63
2003-09-22,17.98,597200.0,17.98,17.66,17.64
2003-09-23,17.65,249100.0,18.5,18.4,17.41
2003-09-24,18.5,136300.0,18.5,18.31,18.15
2003-09-25,18.35,216000.0,18.45,18.31,18.18
2003-09-26,18.2,703600.0,18.3,18.08,18.07
2003-09-29,18.06,458500.0,18.47,18.28,18.06
2003-09-30,18.4,198000.0,18.48,18.18,18.0
2003-10-01,18.19,163300.0,18.62,18.6,18.19
2003-10-02,18.48,392700.0,19.04,18.95,18.33
2003-10-03,18.99,126200.0,19.21,19.0,18.85
2003-10-06,19.17,152600.0,19.31,19.1,18.979
2003-10-07,19.11,231600.0,19.29,19.04,18.78
2003-10-08,19.16,370000.0,19.2,18.8,18.64
2003-10-09,18.91,388300.0,19.03,18.91,18.54
2003-10-10,19.02,169100.0,19.04,18.85,18.64
2003-10-13,18.99,81300.0,19.11,19.01,18.75
2003-10-14,19.119,263400.0,19.26,19.25,18.93
2003-10-15,19.3,318100.0,19.77,19.49,18.86
2003-10-16,19.6,386600.0,19.99,19.88,19.35
2003-10-17,19.99,233000.0,20.24,20.05,19.74
