date,1. open,5. volume,2. high,4. close,3. low
2002-09-25,16.1,1000.0,16.1,16.1,16.1
2002-09-26,16.1,111900.0,16.4,16.4,16.1
2002-09-27,16.25,37100.0,16.3,16.1,16.05
2002-09-30,16.0,903300.0,17.25,17.25,15.8
2002-10-01,17.2,662400.0,17.65,16.78,16.78
2002-10-02,16.78,592100.0,16.78,15.7,15.35
2002-10-03,15.55,650400.0,16.38,16.1,15.55
2002-10-04,16.0,380200.0,16.1,15.68,15.55
2002-10-07,15.75,594700.0,16.0,15.0,15.0
2002-10-08,14.4,416600.0,14.4,14.04,13.77
2002-10-09,14.1,291800.0,14.25,14.0,13.95
2002-10-10,13.95,739900.0,14.0,13.49,13.23
2002-10-11,13.59,487200.0,13.88,13.6,13.45
2002-10-14,13.4,166200.0,14.38,14.17,13.4
2002-10-15,14.12,318500.0,14.98,14.95,14.12
2002-10-16,14.85,274100.0,14.95,14.15,14.12
2002-10-17,14.15,1012300.0,14.48,14.39,14.14
2002-10-18,14.4,342600.0,14.93,14.76,14.2
2002-10-21,14.55,263500.0,14.94,14.77,14.5
2002-10-22,14.75,279900.0,15.1,15.1,14.6
2002-10-23,15.1,372600.0,15.38,15.34,15.0
2002-10-24,15.3,395500.0,15.48,15.48,15.26
2002-10-25,15.48,265100.0,15.48,15.37,15.05
2002-10-28,15.35,442600.0,15.42,15.35,15.25
2002-10-29,15.35,202200.0,15.35,15.34,15.2
2002-10-30,15.35,197100.0,16.08,16.0,15.35
2002-10-31,16.0,257100.0,16.03,15.9,15.9
2002-11-01,15.9,159800.0,16.0,16.0,15.72
2002-11-04,15.97,120800.0,16.1,15.85,15.75
2002-11-05,15.85,252700.0,15.85,15.61,15.45
2002-11-06,15.65,190700.0,15.73,15.55,15.5
2002-11-07,15.5,207000.0,15.65,15.57,15.05
2002-11-08,15.49,78600.0,15.49,15.1,14.8
2002-11-11,14.85,41500.0,15.16,15.15,14.72
2002-11-12,15.08,43400.0,15.15,15.12,14.92
2002-11-13,15.12,395300.0,15.12,14.6,14.6
2002-11-14,14.6,58500.0,14.83,14.69,14.45
2002-11-15,14.55,149700.0,14.71,14.6,14.26
2002-11-18,14.53,181400.0,14.7,14.7,14.18
2002-11-19,14.63,199700.0,14.81,14.8,14.52
2002-11-20,14.8,236900.0,15.28,15.28,14.8
2002-11-21,15.25,306100.0,15.34,15.14,14.9
2002-11-22,15.2,260100.0,15.33,15.22,15.12
2002-11-25,15.22,280800.0,15.6,15.55,15.22
2002-11-26,15.48,29200.0,15.57,15.4,15.36
2002-11-27,15.37,47400.0,15.5,15.43,15.35
2002-11-29,15.37,61700.0,15.5,15.12,15.12
2002-12-02,15.5,293300.0,16.01,15.83,15.35
2002-12-03,15.85,228900.0,15.95,15.82,15.52
2002-12-04,15.87,176900.0,16.3,16.18,15.72
2002-12-05,16.19,168000.0,16.55,16.47,16.18
2002-12-06,16.35,400600.0,16.98,16.73,16.32
2002-12-09,16.7,333900.0,17.21,16.85,16.52
2002-12-10,16.8,114500.0,17.02,17.02,16.6
2002-12-11,16.92,147100.0,17.1,16.8,16.78
2002-12-12,16.8,156900.0,17.55,17.42,16.8
