date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,63.38,53400.0,63.38,63.0,62.56
1998-01-05,63.0,162700.0,63.25,63.13,62.88
1998-01-06,63.0,139100.0,63.38,62.94,62.81
1998-01-07,63.0,208600.0,63.0,62.0,61.56
1998-01-08,62.0,88800.0,62.0,61.0,60.88
1998-01-09,61.0,191600.0,61.0,60.0,59.75
1998-01-12,59.5,89100.0,60.31,60.06,59.25
1998-01-13,60.13,230200.0,60.13,60.13,59.38
1998-01-14,60.06,112300.0,60.63,60.25,60.0
1998-01-15,60.06,673200.0,60.88,60.69,59.13
1998-01-16,61.0,99200.0,61.81,61.63,61.0
1998-01-20,62.0,76900.0,62.0,61.25,60.81
1998-01-21,60.0,292900.0,60.38,60.19,59.63
1998-01-22,60.19,78800.0,60.5,59.94,59.88
1998-01-23,60.0,58900.0,60.13,59.88,59.75
1998-01-26,59.94,199200.0,60.5,59.63,59.5
1998-01-27,59.88,72600.0,60.38,60.25,59.38
1998-01-28,60.38,51900.0,61.0,60.94,60.38
1998-01-29,61.0,67200.0,61.44,61.25,60.88
1998-01-30,61.38,76800.0,61.44,61.0,60.94
1998-02-02,61.31,57600.0,62.0,61.63,61.31
1998-02-03,61.06,111400.0,61.06,60.69,60.56
1998-02-04,60.69,241200.0,60.69,60.56,60.0
1998-02-05,60.75,148600.0,60.88,60.25,60.13
1998-02-06,60.38,174000.0,60.44,60.0,59.94
1998-02-09,60.0,257800.0,60.06,60.0,59.69
1998-02-10,60.19,400200.0,60.75,60.75,60.0
1998-02-11,60.75,240200.0,63.0,63.0,60.75
1998-02-12,63.0,295600.0,64.5,64.19,62.94
1998-02-13,64.13,212800.0,65.25,64.75,64.06
1998-02-17,65.0,79300.0,65.25,64.69,64.06
1998-02-18,64.69,63100.0,65.0,64.5,64.44
1998-02-19,64.25,146000.0,64.25,63.94,62.75
1998-02-20,63.88,69700.0,64.25,63.63,63.25
1998-02-23,63.75,95000.0,64.81,64.63,63.75
1998-02-24,64.69,156600.0,65.75,65.63,64.69
1998-02-25,66.13,102300.0,66.5,66.5,66.13
1998-02-26,66.44,80800.0,66.81,66.69,66.44
1998-02-27,66.75,390400.0,66.75,66.19,66.19
1998-03-02,66.25,156900.0,67.13,67.06,66.19
1998-03-03,67.0,85600.0,68.25,68.06,66.94
1998-03-04,67.88,133400.0,67.94,66.94,66.75
1998-03-05,66.94,148300.0,67.44,67.13,66.63
1998-03-06,67.25,271600.0,70.25,70.13,67.25
1998-03-09,70.0,282900.0,70.25,70.25,69.94
1998-03-10,70.25,183500.0,71.31,70.94,70.06
1998-03-11,70.94,133300.0,72.38,72.31,70.5
1998-03-12,72.19,85600.0,72.56,72.5,71.94
1998-03-13,72.44,71900.0,72.5,71.25,71.0
1998-03-16,71.5,1867500.0,74.0,73.63,70.31
1998-03-17,75.5,877800.0,75.94,74.94,74.13
1998-03-18,74.94,146500.0,74.94,74.06,74.0
1998-03-19,74.06,226800.0,74.75,74.0,73.94
1998-03-20,74.25,206800.0,74.44,74.38,74.13
1998-03-23,74.38,202900.0,74.38,72.88,72.56
1998-03-24,73.0,297400.0,73.88,73.69,73.0
1998-03-25,73.69,281500.0,73.88,73.5,73.13
