date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,35.25,2925300.0,38.63,38.63,34.63
1998-01-05,38.63,2580300.0,39.88,37.75,37.06
1998-01-06,37.88,1675700.0,38.69,37.38,36.25
1998-01-07,36.0,2572600.0,37.19,35.81,34.75
1998-01-08,35.38,2191900.0,37.44,36.13,34.75
1998-01-09,36.38,3626100.0,36.38,34.63,33.13
1998-01-12,33.0,2757900.0,35.75,34.06,32.63
1998-01-13,35.0,3889700.0,37.5,37.25,34.81
1998-01-14,37.25,1774700.0,37.75,36.88,35.63
1998-01-15,36.75,1552000.0,37.88,36.38,36.13
1998-01-16,36.5,1315100.0,37.38,35.63,35.5
1998-01-20,36.0,2801600.0,39.31,38.25,35.25
1998-01-21,36.5,3719600.0,37.38,36.75,35.88
1998-01-22,35.75,3025100.0,35.75,35.13,34.63
1998-01-23,35.63,2542400.0,36.5,35.88,35.38
1998-01-26,36.25,977900.0,36.75,35.63,35.5
1998-01-27,35.69,1111200.0,36.5,36.25,35.5
1998-01-28,36.56,2495700.0,38.94,38.5,36.31
1998-01-29,37.75,1787800.0,38.88,37.31,37.25
1998-01-30,37.63,1106400.0,38.63,37.94,37.25
1998-02-02,38.63,2740700.0,41.38,40.0,38.5
1998-02-03,40.0,2982300.0,41.94,40.75,39.75
1998-02-04,40.63,1596000.0,41.06,40.25,39.88
1998-02-05,40.94,1735500.0,41.13,38.63,38.63
1998-02-06,38.69,1447000.0,40.56,40.5,38.38
1998-02-09,40.63,2228400.0,40.94,39.0,38.81
1998-02-10,39.25,4289000.0,42.63,40.69,39.25
1998-02-11,40.13,1713000.0,40.75,40.0,39.56
1998-02-12,39.69,2751100.0,40.38,39.13,38.63
1998-02-13,38.88,2055100.0,40.25,39.5,38.5
1998-02-17,40.0,1688800.0,40.25,39.0,39.0
1998-02-18,39.0,1684800.0,40.25,40.25,38.75
1998-02-19,40.63,1837900.0,41.13,39.94,39.75
1998-02-20,40.69,2257900.0,41.25,40.06,39.09
1998-02-23,40.5,1343000.0,41.44,40.88,39.75
1998-02-24,40.63,2912100.0,42.0,41.31,40.63
1998-02-25,41.88,3256100.0,44.63,44.63,41.75
1998-02-26,43.88,4344100.0,46.69,46.25,43.75
1998-02-27,46.13,2350500.0,46.63,43.88,43.63
1998-03-02,44.5,3363600.0,44.75,41.94,41.63
1998-03-03,41.25,3424600.0,43.25,42.81,39.88
1998-03-04,42.25,3778800.0,46.63,46.63,42.13
1998-03-05,43.69,5306200.0,45.5,43.63,43.06
1998-03-06,44.5,1837800.0,45.19,44.0,43.13
1998-03-09,43.88,2104700.0,44.88,42.25,42.13
1998-03-10,43.25,2082600.0,44.44,44.44,42.88
1998-03-11,44.63,1661600.0,45.38,44.72,44.38
1998-03-12,44.5,1426300.0,45.06,45.0,43.31
1998-03-13,45.13,2138300.0,47.19,45.69,45.0
1998-03-16,46.0,1044300.0,46.5,45.5,45.13
1998-03-17,45.25,3009200.0,45.38,44.56,43.25
1998-03-18,43.63,2177200.0,44.13,43.69,43.06
1998-03-19,43.5,3683200.0,43.63,40.56,40.06
1998-03-20,42.38,5860800.0,42.38,39.88,39.5
1998-03-23,40.25,2380100.0,40.88,39.38,38.88
1998-03-24,39.63,2029900.0,40.31,39.0,38.75
1998-03-25,40.56,2578300.0,40.75,39.69,39.06
1998-03-26,39.75,1538800.0,40.31,40.0,39.38
1998-03-27,40.63,1797800.0,40.63,39.75,38.94
1998-03-30,39.5,1972000.0,39.75,38.38,37.81
1998-03-31,38.5,2682900.0,39.06,37.44,37.25
1998-04-01,37.75,3339800.0,40.25,39.88,37.0
1998-04-02,40.13,2591200.0,40.75,39.25,39.0
1998-04-03,39.31,2061900.0,39.44,37.5,37.5
1998-04-06,38.25,1217000.0,38.44,37.63,37.25
1998-04-07,37.5,4193500.0,39.38,38.69,36.0
1998-04-08,39.0,1733700.0,40.19,39.5,38.31
1998-04-09,39.63,1789100.0,40.63,39.63,38.88
1998-04-13,39.44,1485200.0,39.63,38.69,37.56
1998-04-14,38.75,2437700.0,40.5,40.38,38.75
1998-04-15,41.94,5153700.0,44.25,43.75,40.63
1998-04-16,42.56,1985600.0,43.38,42.56,41.0
1998-04-17,41.88,2217100.0,42.94,42.25,41.06
