date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,61.06,2828600.0,62.06,61.88,60.94
1998-01-05,62.0,4364200.0,62.19,61.19,60.31
1998-01-06,60.13,4504600.0,60.56,59.0,58.63
1998-01-07,59.06,5831800.0,60.94,60.88,58.88
1998-01-08,60.63,3178800.0,61.0,59.56,59.5
1998-01-09,59.56,4030300.0,59.69,58.13,57.56
1998-01-12,56.75,4181200.0,59.0,58.75,56.63
1998-01-13,59.5,4458500.0,60.13,60.06,59.0
1998-01-14,60.19,3187500.0,61.0,60.81,59.75
1998-01-15,60.56,4303300.0,61.44,59.5,59.25
1998-01-16,60.31,4222800.0,61.56,60.81,60.0
1998-01-20,60.69,3174000.0,61.25,60.88,60.31
1998-01-21,61.5,3325700.0,61.94,61.06,60.5
1998-01-22,60.25,2845300.0,60.25,59.56,59.0
1998-01-23,59.56,2891000.0,59.94,59.06,58.19
1998-01-26,59.06,2934200.0,60.44,60.25,59.06
1998-01-27,60.38,2816800.0,61.0,60.38,60.19
1998-01-28,60.19,4143300.0,60.5,59.19,59.0
1998-01-29,59.75,3929700.0,60.88,60.75,59.31
1998-01-30,60.56,3646400.0,60.63,59.31,59.13
1998-02-02,60.75,4364300.0,60.81,60.5,60.19
1998-02-03,60.25,3122600.0,61.25,60.81,60.19
1998-02-04,60.56,2905100.0,62.0,61.56,60.56
1998-02-05,62.0,3482200.0,62.44,61.94,61.38
1998-02-06,61.5,2438800.0,62.25,62.0,61.5
1998-02-09,62.0,2387500.0,62.19,62.0,61.25
1998-02-10,62.0,2682000.0,62.19,62.06,61.56
1998-02-11,62.13,3123100.0,62.94,62.69,61.88
1998-02-12,62.63,2810700.0,63.44,63.06,61.88
1998-02-13,62.88,2293700.0,63.38,63.13,62.63
1998-02-17,63.25,3045700.0,63.25,62.13,61.94
1998-02-18,62.31,4134300.0,64.06,63.81,62.25
1998-02-19,63.88,3053800.0,64.0,63.63,63.31
1998-02-20,63.56,3831700.0,64.44,64.31,63.19
1998-02-23,63.44,3847800.0,63.44,62.5,61.75
1998-02-24,62.69,3255200.0,63.19,62.75,62.25
1998-02-25,62.94,1988200.0,63.13,62.81,62.25
1998-02-26,62.81,2079700.0,63.5,63.06,62.63
1998-02-27,62.94,2785000.0,64.06,63.75,62.81
1998-03-02,63.88,2438100.0,64.12,63.5,63.06
1998-03-03,63.5,3428800.0,64.31,64.25,63.38
1998-03-04,64.25,3522400.0,64.44,63.44,63.25
1998-03-05,62.88,3453900.0,63.44,62.94,62.56
1998-03-06,62.94,3427800.0,62.94,62.75,62.19
1998-03-09,62.94,3093200.0,62.94,62.5,62.19
1998-03-10,62.88,2833400.0,63.56,63.44,62.75
1998-03-11,64.0,2820600.0,64.19,63.94,63.38
1998-03-12,63.69,2393900.0,64.0,63.88,63.19
1998-03-13,63.94,2238200.0,64.37,64.31,63.75
1998-03-16,64.31,2039600.0,64.44,64.19,63.94
1998-03-17,64.0,4112800.0,64.0,62.94,62.13
1998-03-18,63.19,3838300.0,64.69,64.62,62.94
1998-03-19,64.69,3303800.0,65.0,64.81,64.37
1998-03-20,65.0,6998400.0,67.75,67.12,64.81
1998-03-23,69.94,5972400.0,70.0,68.0,67.75
1998-03-24,68.62,3417200.0,68.75,68.37,67.94
1998-03-25,68.69,2908400.0,69.19,67.75,67.44
1998-03-26,67.69,2936400.0,69.0,68.19,67.56
1998-03-27,68.44,2463500.0,68.56,67.62,66.94
