date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,30.5,57400.0,30.75,29.75,29.5
1998-01-05,29.5,320667.0,30.13,28.63,28.5
1998-01-06,28.63,66867.0,29.13,29.13,28.25
1998-01-07,28.5,280867.0,29.0,28.63,28.5
1998-01-08,29.0,88667.0,29.0,28.44,28.44
1998-01-09,28.25,160067.0,28.38,27.06,27.06
1998-01-12,27.06,627267.0,27.88,27.0,26.25
1998-01-13,27.75,155467.0,27.75,27.5,27.13
1998-01-14,28.0,207467.0,28.13,27.88,27.5
1998-01-15,28.25,255800.0,28.31,28.31,27.75
1998-01-16,28.25,278667.0,29.5,28.75,28.13
1998-01-20,28.63,353667.0,30.13,30.0,28.63
1998-01-21,29.75,114067.0,29.75,29.38,29.0
1998-01-22,29.5,156800.0,29.5,29.25,29.13
1998-01-23,29.63,68600.0,29.63,28.88,28.25
1998-01-26,28.63,41200.0,29.38,29.13,28.63
1998-01-27,29.0,100867.0,29.94,29.88,28.88
1998-01-28,29.5,92067.0,30.13,30.0,29.5
1998-01-29,29.88,349200.0,30.13,30.13,29.38
1998-01-30,30.0,60000.0,30.06,29.75,29.63
1998-02-02,29.75,183267.0,30.13,29.5,29.5
1998-02-03,29.63,119667.0,30.0,29.5,29.0
1998-02-04,29.0,291600.0,29.5,29.19,28.81
1998-02-05,29.0,90400.0,29.56,29.44,29.0
1998-02-06,29.0,85200.0,29.63,29.13,29.0
1998-02-09,29.13,78600.0,29.63,29.5,29.13
1998-02-10,29.63,70267.0,29.75,29.5,29.25
1998-02-11,29.38,164000.0,30.5,30.38,29.38
1998-02-12,30.0,159400.0,30.38,30.0,29.88
1998-02-13,30.25,277000.0,30.25,30.13,29.88
1998-02-17,30.25,312867.0,31.25,31.19,30.25
1998-02-18,31.13,227267.0,31.5,31.5,31.13
1998-02-19,31.5,172200.0,31.75,31.5,31.25
1998-02-20,31.75,76200.0,31.88,31.5,31.25
1998-02-23,31.75,95000.0,31.88,31.75,31.5
1998-02-24,31.5,218067.0,31.63,30.25,30.25
1998-02-25,30.25,107800.0,31.0,31.0,30.25
1998-02-26,30.25,39600.0,31.25,31.25,30.25
1998-02-27,30.94,108667.0,31.25,31.0,30.75
1998-03-02,31.5,186467.0,32.25,32.13,31.0
1998-03-03,31.88,277867.0,33.5,33.38,31.88
1998-03-04,33.0,136000.0,33.63,32.75,32.5
1998-03-05,32.88,170067.0,33.0,32.5,32.38
1998-03-06,32.75,108200.0,33.63,32.94,32.75
1998-03-09,33.5,150000.0,33.5,32.81,32.38
1998-03-10,32.63,25400.0,33.25,33.19,32.56
1998-03-11,33.0,130600.0,33.63,33.63,33.0
1998-03-12,33.63,322867.0,35.0,35.0,33.0
1998-03-13,35.0,345600.0,35.0,34.13,33.88
1998-03-16,34.63,202067.0,34.88,34.63,34.13
1998-03-17,34.38,316267.0,34.88,34.81,34.38
1998-03-18,34.63,157800.0,35.13,34.91,34.63
1998-03-19,34.69,970267.0,35.0,34.0,33.75
1998-03-20,34.0,473467.0,34.25,33.75,33.5
1998-03-23,33.88,95867.0,34.25,33.63,33.19
1998-03-24,33.88,124667.0,33.88,33.09,32.56
1998-03-25,33.0,422000.0,33.13,32.25,32.13
1998-03-26,32.13,786667.0,32.16,31.5,31.25
1998-03-27,32.0,135867.0,32.0,31.44,31.38
1998-03-30,31.63,154200.0,31.94,31.63,31.45
1998-03-31,31.88,315600.0,32.13,31.19,31.0
1998-04-01,31.5,244067.0,31.69,31.44,31.25
1998-04-02,31.38,267067.0,31.5,31.5,31.38
1998-04-03,31.5,350600.0,32.0,31.38,31.25
1998-04-06,31.38,260800.0,32.0,31.63,31.38
1998-04-07,31.38,205667.0,31.81,31.75,31.38
1998-04-08,31.63,208200.0,32.25,31.72,31.63
1998-04-09,31.75,218600.0,32.0,31.63,31.5
1998-04-13,31.94,290000.0,32.0,31.5,31.25
1998-04-14,31.44,416200.0,31.75,31.38,31.0
1998-04-15,31.38,105200.0,31.5,31.38,31.0
1998-04-16,31.5,38067.0,31.63,31.0,30.63
1998-04-17,30.63,175867.0,31.38,30.5,30.5
1998-04-20,31.0,131600.0,31.25,30.75,30.5
1998-04-21,31.75,256200.0,32.0,31.75,30.75
1998-04-22,31.84,272867.0,31.88,31.84,31.5
1998-04-23,31.88,137667.0,32.06,32.0,31.63
1998-04-24,32.13,144667.0,32.88,32.78,32.0
1998-04-27,32.5,305400.0,33.25,32.63,32.25
1998-04-28,32.56,95267.0,32.88,32.41,32.19
1998-04-29,32.25,73867.0,32.88,32.78,32.25
1998-04-30,33.13,140600.0,33.13,32.88,32.19
1998-05-01,32.88,67200.0,33.13,32.88,32.5
1998-05-04,32.75,71667.0,33.25,32.94,32.75
1998-05-05,32.94,51600.0,33.13,32.59,32.5
1998-05-06,32.88,250067.0,33.13,33.0,32.5
1998-05-07,32.88,35067.0,32.88,32.5,32.44
1998-05-08,32.5,178400.0,32.75,32.63,32.38
1998-05-11,32.75,143000.0,32.75,32.63,32.44
1998-05-12,32.56,52867.0,32.88,32.72,32.56
1998-05-13,32.75,188067.0,32.88,32.56,32.44
1998-05-14,32.63,223800.0,32.75,32.56,32.38
1998-05-15,32.75,69000.0,32.88,32.69,32.5
1998-05-18,32.38,56400.0,32.88,32.81,32.38
1998-05-19,32.63,50267.0,33.0,32.84,32.63
1998-05-20,32.88,117600.0,34.5,33.69,32.81
1998-05-21,33.75,73600.0,34.75,34.34,33.5
1998-05-22,33.75,105200.0,34.38,33.94,33.25
1998-05-26,33.75,190600.0,34.25,33.25,32.88
1998-05-27,32.38,126800.0,33.5,33.25,32.38
1998-05-28,32.75,321000.0,33.75,33.5,32.13
1998-05-29,33.38,146800.0,33.88,33.75,33.38
