date,1. open,5. volume,2. high,4. close,3. low
2011-05-24,35.0,70186700.0,42.01,38.84,30.55
2011-05-25,37.75,11761600.0,37.9,35.0,34.4
2011-05-26,34.45,4417500.0,35.45,34.77,34.0
2011-05-27,34.75,2006000.0,35.0,34.45,34.0
2011-05-31,34.95,3981100.0,35.37,33.45,32.61
2011-06-01,32.98,3720000.0,33.07,32.25,32.0
2011-06-02,32.06,2097700.0,33.75,33.52,31.55
2011-06-03,33.33,1963500.0,35.5,33.5,32.65
2011-06-06,34.5,1654100.0,34.99,34.23,33.51
2011-06-07,34.99,1425700.0,35.22,35.0,34.0
2011-06-08,34.48,2072700.0,35.25,33.29,33.1
2011-06-09,33.75,1625100.0,33.75,32.79,32.57
2011-06-10,32.36,1265200.0,32.75,31.824,31.76
2011-06-13,31.75,1100100.0,32.28,31.33,31.05
2011-06-14,31.36,797800.0,32.3,31.6,31.36
2011-06-15,31.0,2693500.0,31.45,30.27,29.91
2011-06-16,30.85,3081300.0,30.9,30.53,29.76
2011-06-17,31.03,1126400.0,31.25,30.81,30.24
2011-06-20,30.94,793400.0,31.0,30.32,29.91
2011-06-21,30.32,1304200.0,31.34,31.13,29.95
2011-06-22,30.96,511200.0,31.11,30.71,30.5
2011-06-23,30.26,844300.0,31.2,31.17,29.8
2011-06-24,31.25,432900.0,31.7675,31.55,30.51
2011-06-27,31.73,752100.0,33.06,32.5,31.62
2011-06-28,33.03,1251100.0,34.42,33.99,32.89
2011-06-29,34.47,869300.0,34.98,34.78,33.86
2011-06-30,34.78,1537100.0,35.73,35.51,34.38
2011-07-01,35.75,1059300.0,36.33,35.69,34.9
2011-07-05,36.2,1688200.0,36.3,34.085,33.79
2011-07-06,33.77,1848400.0,35.0,33.93,33.142
2011-07-07,34.25,1396200.0,34.4,34.15,33.813
2011-07-08,33.7,1747600.0,36.0,35.95,33.6
2011-07-11,35.35,3324400.0,37.09,34.13,33.9
2011-07-12,34.21,1279900.0,35.18,33.54,33.19
2011-07-13,34.25,908400.0,34.95,34.49,33.96
2011-07-14,34.89,1127400.0,35.26,34.17,33.3672
2011-07-15,34.99,974200.0,35.67,34.99,34.33
2011-07-18,35.05,1049400.0,35.91,35.91,34.73
2011-07-19,36.25,1332100.0,36.75,35.75,35.64
2011-07-20,35.93,733600.0,36.63,34.99,34.8
2011-07-21,35.08,453100.0,35.53,34.93,34.7
2011-07-22,35.5,882400.0,36.45,35.65,34.76
2011-07-25,35.55,822200.0,37.12,36.56,35.43
2011-07-26,37.15,2828700.0,39.67,37.45,37.0
2011-07-27,37.01,2100400.0,38.99,38.51,36.31
2011-07-28,38.16,3706000.0,38.4,37.74,32.65
2011-07-29,37.0,1991900.0,37.01,34.98,34.82
2011-08-01,35.38,1688900.0,35.95,32.79,32.14
2011-08-02,33.0,1115200.0,33.96,32.47,32.34
2011-08-03,32.81,1559100.0,34.455,34.24,31.75
2011-08-04,34.0,1056900.0,34.25,32.61,32.5
2011-08-05,32.72,2193300.0,32.9,30.83,30.5
2011-08-08,28.88,2973800.0,29.73,27.04,26.02
2011-08-09,27.32,1818700.0,29.83,29.76,26.11
2011-08-10,29.64,1138400.0,31.486,29.73,28.6001
2011-08-11,29.85,1830100.0,32.17,30.66,29.65
2011-08-12,31.1,986500.0,32.295,30.66,30.63
2011-08-15,30.68,735300.0,31.96,30.59,30.47
2011-08-16,30.51,1491800.0,30.78,29.18,28.9
2011-08-17,30.15,1200600.0,30.4,30.01,29.53
2011-08-18,29.04,1151900.0,29.79,29.56,28.69
