date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,29.06,531900.0,29.31,29.13,28.38
1998-01-05,29.13,1232500.0,29.25,28.25,27.88
1998-01-06,27.88,1538800.0,27.88,27.06,26.94
1998-01-07,26.88,1080900.0,27.75,27.0,26.63
1998-01-08,26.5,976500.0,26.75,25.94,25.75
1998-01-09,25.88,1748700.0,26.94,26.0,25.75
1998-01-12,25.13,958400.0,26.44,26.13,25.06
1998-01-13,25.88,895600.0,26.38,26.13,25.75
1998-01-14,26.19,681000.0,26.81,26.13,25.56
1998-01-15,26.0,1578200.0,26.88,26.75,25.75
1998-01-16,26.63,556500.0,27.0,26.94,26.56
1998-01-20,26.88,704100.0,27.75,27.75,26.75
1998-01-21,27.5,424900.0,27.5,27.38,27.19
1998-01-22,27.38,514100.0,27.44,27.13,27.0
1998-01-23,27.0,596100.0,27.13,26.75,26.56
1998-01-26,26.5,444100.0,26.94,26.63,26.38
1998-01-27,26.25,849500.0,26.63,26.56,26.0
1998-01-28,26.5,976600.0,27.38,27.38,26.38
1998-01-29,27.13,771100.0,28.06,27.44,27.0
1998-01-30,27.25,1496900.0,27.38,27.31,26.94
1998-02-02,27.56,974500.0,28.5,27.88,27.56
1998-02-03,27.63,735000.0,27.75,27.63,27.5
1998-02-04,27.5,943700.0,28.5,28.38,27.38
1998-02-05,28.06,553900.0,28.38,28.0,27.88
1998-02-06,27.75,490900.0,28.75,28.69,27.75
1998-02-09,28.25,383200.0,28.5,28.25,27.81
1998-02-10,28.13,357200.0,28.63,28.44,27.75
1998-02-11,28.25,518400.0,28.31,28.19,27.69
1998-02-12,28.13,1149400.0,28.38,27.5,27.25
1998-02-13,27.5,1483100.0,29.0,27.25,27.0
1998-02-17,26.0,1135300.0,26.69,26.69,26.0
1998-02-18,26.38,1310600.0,26.5,26.13,26.0
1998-02-19,26.13,1097300.0,27.63,27.06,26.06
1998-02-20,27.31,441300.0,27.31,26.75,26.56
